Location\nID,Pipeline *,Zone,Geographic Location,Location,Name,Meter\nID,Milepost,Location\nType,Index\nSubgroup,NAESB\nDRN #,State,Point\nDirect,Interconnect,value_pool,Group,Constrained,Default,Active,Active\nStart Date,Active\nEnd Date,location_index,AutoNom,AutoNom Loc,AutoNom K to Loc,AutoNom K from Loc,AutoNom K,Daily\nIndex ID,Rate\nID,Last\nUpdate,Personnel\nID,Version\nNumber,Description 1,Description 2,Description 3,Description 4,Description 5,Days Offset,Time Zone,Density Adjustment\n(Volume to Mass),Measure\nGroup,Allocation\nMethod,% Decline,Min Entry\nCapacity,Min Exit\nCapacity,Alt Value\nPool,Alt Index\nID,Facility,Network Path,Loc Adj UDP,Defined Date Sequence,Segment,Project Area,BBL / MT,Transport Class,Location Adj\nUDP Assigned?,Price Adj Breakdown,Tport Rebill Bunit,Tport Rebill Lentity
46314,GLGT,EASTERN,None,BELLE RIVER POOL,BELLE RIVER POOL,BELLE RIVER,0,Pool,None,,MI,Bi-Directional,None,VP_MICHCON_CG,,,,CHECK_MARK,,,NG_LD_MICHCON_CG,,,,,,,None,3/14/19,CHAMBERN,0,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
44485,GLGT,WESTERN,None,CARLTON,NNG CARLTON,CARLTON,283.8,Point,None,11842,MN,Delivery,GLGT TO NNG CARLTON,VP_NNG_CARLTON,,,,CHECK_MARK,,,NG_LD_NNG_CARLTON,,,,,,,None,2/13/19,ballj1,4,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
45730,GLGT,WESTERN,None,CARLTON POOL,CARLTON POOL,CARLTON,283.8,Pool,None,11842,MN,Bi-Directional,None,VP_NNG_CARLTON,,,,CHECK_MARK,,,NG_LD_NNG_CARLTON,,,,,,,None,2/13/19,ballj1,1,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
44277,GLGT,WESTERN,None,EMERSON,TCPL EMERSON,EMERSON,0,Point,None,33975,MN,Bi-Directional,TCPL GLGT EMERSON,VP_EMERSON,,,,CHECK_MARK,,,NG_LD_EMERSON,,,,,,,None,8/26/13,smith4c,3,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
44892,GLGT,WESTERN,None,EMERSON POOL,EMERSON POOL,EMERSON POOL,0,Pool,None,,MN,Bi-Directional,None,VP_EMERSON,,,,CHECK_MARK,,,NG_LD_EMERSON,,,,,,,None,5/19/14,hanm,0,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
45888,GLGT,WESTERN,None,GRAND RAPID,GRAND RAPID,GRAND RAPID,283.8,Point,None,11842,MN,Delivery,GLGT TO NNG GRAND RAPIDS,VP_NNG_CARLTON,,,,CHECK_MARK,,,NG_LD_NNG_CARLTON,,,,,,,None,2/13/19,ballj1,3,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
46379,GLGT,EASTERN,None,RATTLE RUN (TCPL),RATTLE RUN (TCPL),RATTLE RUN (TCPL),0,Point,None,,None,Bi-Directional,TCPL TO RATTLE RUN,VP_ST_CLAIR,,,,CHECK_MARK,,,NG_LD_ST_CLAIR,,,,,,,None,2/14/20,kasel2c,2,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
48274,GLGT,WESTERN,None,SAULT STE MARIE TCPL,SAULT STE MARIE TCPL,SSM,0,Point,None,33975,MN,Bi-Directional,TCPL GLGT SAULT ST MARIE,VP_DAWN,,,,CHECK_MARK,,,NG_LD_DAWN,,,,,,,None,10/24/22,powerv,1,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
48275,GLGT,WESTERN,None,SAULT STE MARIE TCPL POOL,SAULT STE MARIE TCPL POOL,SSM,0,Pool,None,33975,MN,Bi-Directional,None,VP_DAWN,,,,CHECK_MARK,,,NG_LD_DAWN,,,,,,,None,10/24/22,powerv,0,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
44484,GLGT,EASTERN,None,ST CLAIR,TCPL ST CLAIR,ST CLAIR,973.2,Point,None,11772,MI,Bi-Directional,TCPL GLGT ST CLAIR,VP_ST_CLAIR,,,,CHECK_MARK,,,NG_LD_ST_CLAIR,,,,,,,None,8/26/13,smith4c,3,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
44904,GLGT,EASTERN,None,ST CLAIR POOL,ST CLAIR POOL,ST CLAIR POOL,0,Pool,None,,MI,Bi-Directional,GLGT CAN to GLGT US,VP_ST_CLAIR,,,,CHECK_MARK,,,NG_LD_ST_CLAIR,,,,,,,None,12/20/17,CHAMBERN,1,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
44483,GLGT,CENTRAL,None,WAKEFIELD,NNG WAKEFIELD,WAKEFIELD,407.4,Pool,None,11643,WI,Bi-Directional,GLGT TO NNG WAKEFIELD,VP_NNG_CARLTON,,,,CHECK_MARK,,,NG_LD_NNG_CARLTON,,,,,,,None,1/30/20,bittnerk,6,,,,,,0,GMT,,None,Ranking,0,0,0,,,,0,,,,,1, ,No,Standard,,
