Pipeline,Rate Definition ID,Rate Schedule,Provider Charge Type *,Charge Unit,Start Date,End Date *,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate
GLGT,246401,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR MC,Location,SAULT STE MARIE TCPL MC,Fixed,,Delivery,0
GLGT,246255,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,DNU-CARLTON POOL,Fixed,,Delivery,0.86487
GLGT,246288,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,DEWARD REC,Fixed,,Delivery,0
GLGT,246403,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,ST CLAIR MC,Fixed,,Delivery,2.80007
GLGT,246284,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,GRAND RAPIDS NN,Fixed,,Delivery,0.86487
GLGT,246382,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN MC,Location,EMERSON MC,Fixed,,Delivery,0
GLGT,246239,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,MANISTIQUE,Fixed,,Delivery,0
GLGT,246285,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,BELLE RIVER MILLS DEC,Fixed,,Delivery,0
GLGT,246383,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,EMERSON MC,Fixed,,Delivery,1.73441
GLGT,246287,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,CLOW MC,Fixed,,Delivery,0
GLGT,246402,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-CARLTON POOL,Location,ST CLAIR MC,Fixed,,Delivery,2.16348
GLGT,246384,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,EMERSON MC,Fixed,,Delivery,0
GLGT,246385,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW RECEIPT,Location,EMERSON MC,Fixed,,Delivery,0
GLGT,246378,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW MC,Location,EMERSON MC,Fixed,,Delivery,2.16348
GLGT,246212,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,TRUMBLE ROAD,Fixed,,Delivery,0
GLGT,246213,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,WAKEFIELD,Fixed,,Delivery,0
GLGT,246190,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW MC,Location,DNU-EMERSON POOL,Fixed,,Delivery,0
GLGT,246289,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,DNU-EMERSON POOL,Fixed,,Delivery,0
GLGT,246191,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW MC,Location,FORTUNE LAKE,Fixed,,Delivery,1.51846
GLGT,246189,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW MC,Location,DNU-CARLTON POOL,Fixed,,Delivery,0.86487
GLGT,246186,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-CARLTON POOL,Location,DNU-ST CLAIR POOL,Fixed,,Delivery,2.16348
GLGT,246253,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN MC,Location,TRUMBLE ROAD,Fixed,,Delivery,0
GLGT,246252,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN MC,Location,DNU-ST CLAIR POOL,Fixed,,Delivery,0
GLGT,246218,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-FARWELL POOL,Location,DEWARD REC,Fixed,,Delivery,0.42431
GLGT,246282,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,BELLE RIVER MILLS DEC,Fixed,,Delivery,0
GLGT,246185,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-CARLTON POOL,Location,RATTLE RUN MC,Fixed,,Delivery,2.16348
GLGT,246379,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DEWARD REC,Location,EMERSON MC,Fixed,,Delivery,1.73441
GLGT,246187,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-CARLTON POOL,Location,TRUMBLE ROAD,Fixed,,Delivery,2.16348
GLGT,246192,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW MC,Location,LAMMERS,Fixed,,Delivery,0.42431
GLGT,246283,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,BELLE RIVER MILLS DEC,Fixed,,Delivery,0
GLGT,246392,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN MC,Location,FARWELL MC,Fixed,,Delivery,0
GLGT,246391,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,FARWELL MC,Fixed,,Delivery,1.0837
GLGT,246193,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW MC,Location,WAKEFIELD,Fixed,,Delivery,1.30156
GLGT,246274,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,BELLE RIVER MILLS MC,Location,ST CLAIR MC,Fixed,,Delivery,1.0837
GLGT,246195,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DEWARD REC,Location,DNU-EMERSON POOL,Fixed,,Delivery,0.64508
GLGT,246298,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW RECEIPT,Location,DNU-EMERSON POOL,Fixed,,Delivery,0.20256
GLGT,246273,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,BELLE RIVER MILLS MC,Location,DNU-ST CLAIR POOL,Fixed,,Delivery,0
GLGT,246266,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,RATTLE RUN MC,Fixed,,Delivery,0
GLGT,246222,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-FARWELL POOL,Location,LAMMERS,Fixed,,Delivery,0
GLGT,246373,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON MC,Location,CARLTON MC,Fixed,,Delivery,2.16348
GLGT,246431,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN MC,Location,CLOW RECEIPT,Fixed,,Delivery,0
GLGT,246374,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL MC,Location,CARLTON MC,Fixed,,Delivery,2.80007
GLGT,246223,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-FARWELL POOL,Location,MANISTIQUE,Fixed,,Delivery,0
GLGT,246393,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,FARWELL MC,Fixed,,Delivery,0
GLGT,246267,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,TRUMBLE ROAD,Fixed,,Delivery,0
GLGT,246258,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,DEWARD REC,Fixed,,Delivery,0
GLGT,246264,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,MIDLAND,Fixed,,Delivery,0
GLGT,246365,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW MC,Location,CARLTON MC,Fixed,,Delivery,0
GLGT,246363,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,WAKEFIELD MC,Location,DEWARD REC,Fixed,,Delivery,0
GLGT,246364,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,WAKEFIELD REC,Location,DEWARD REC,Fixed,,Delivery,0.20256
GLGT,246293,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,MIDLAND,Fixed,,Delivery,0
GLGT,246200,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,CHIPPEWA,Fixed,,Delivery,2.80007
GLGT,246292,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON MC,Location,LAMMERS,Fixed,,Delivery,0
GLGT,246201,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,CLOW MC,Fixed,,Delivery,0.20256
GLGT,246265,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,RAPID RIVER,Fixed,,Delivery,0
GLGT,246263,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-ST CLAIR POOL,Location,MANISTIQUE,Fixed,,Delivery,0
GLGT,246199,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,DNU-CARLTON POOL,Fixed,,Delivery,1.73441
GLGT,246387,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR MC,Location,EMERSON MC,Fixed,,Delivery,0
GLGT,246367,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DNU-EMERSON POOL,Location,CARLTON MC,Fixed,,Delivery,2.16348
