Pipeline,Rate Definition ID,Rate Schedule,Provider Charge Type,Charge Unit,Start Date,End Date,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate
GLGT,246401,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,SAULT STE MARIE,Fixed,,Delivery,0
GLGT,246255,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,CARLTON,Fixed,,Delivery,0.86487
GLGT,246288,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,DEWARD,Fixed,,Delivery,0
GLGT,246403,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,ST CLAIR,Fixed,,Delivery,2.80007
GLGT,246284,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,GRAND RAPIDS,Fixed,,Delivery,0.86487
GLGT,246382,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN,Location,EMERSON,Fixed,,Delivery,0
GLGT,246239,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,MANISTIQUE,Fixed,,Delivery,0
GLGT,246285,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,BELLE RIVER MILLS,Fixed,,Delivery,0
GLGT,246383,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,EMERSON,Fixed,,Delivery,1.73441
GLGT,246287,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,CLOW,Fixed,,Delivery,0
GLGT,246402,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,ST CLAIR,Fixed,,Delivery,2.16348
GLGT,246384,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,EMERSON,Fixed,,Delivery,0
GLGT,246385,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW,Location,EMERSON,Fixed,,Delivery,0
GLGT,246378,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW,Location,EMERSON,Fixed,,Delivery,2.16348
GLGT,246212,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,TRUMBLE ROAD,Fixed,,Delivery,0
