origin,region,state,regionType,uom,mileLower,mileUpper,productType,season,entryDate,amount,tons,id,last_update_date
"JEFFERSONVILLE, IN",MN C,MN,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,0,25,"MN C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|JEFFERSONVILLE, IN",2023-09-28
"BILLINGS, MT",MT W,MT,DESTINATION,$/MI,60,9999,UREA,2023 Q4,2023-09-28,6.5,25,"MT W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|BILLINGS, MT",2023-09-28
,NE,NE,ORIGIN,$/ST,40,50,AMMONIA,FALL 2023,2023-08-18,26.05,20,NE|#|ORIGIN|#|AMMONIA|#|$/ST|#|40|#|50|#|FALL 2023|#|2023-08-18|#|,2023-08-18
"ENID, OK",KS SW,KS,DESTINATION,$/MI,60,9999,DAP,2024 Q1,2023-09-28,3.4,25,"KS SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|ENID, OK",2023-09-28
"INOLA, OK",OK NW,OK,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,15,25,"OK NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|INOLA, OK",2023-09-28
"ROCK ISLAND, IL",WI SW,WI,DESTINATION,$/MI,60,9999,SUPERU,2024 Q1,2023-09-28,4.5,25,"WI SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|ROCK ISLAND, IL",2023-09-28
,ND,ND,ORIGIN,$/MI,100,150,ATS,2023 Q4,2023-08-18,5.4,25,ND|#|ORIGIN|#|UAN/ATS/APP|#|$/MI|#|100|#|150|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"INOLA, OK",KS SW,KS,DESTINATION,$/ST,0,60,DAP,2024 Q1,2023-09-28,15,25,"KS SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|INOLA, OK",2023-09-28
"WINONA, MN",WI SW,WI,DESTINATION,$/MI,60,9999,MAP,2024 Q1,2023-09-28,4.5,25,"WI SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|WINONA, MN",2023-09-28
"ENID, OK",KS SW,KS,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,15,25,"KS SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|ENID, OK",2023-09-28
"WILMINGTON, NC",SC E,SC,DESTINATION,$/MI,60,9999,DAP,2024 Q1,2023-09-28,5,25,"SC E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|WILMINGTON, NC",2023-09-28
"ENID, OK",MO SW,MO,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,15,25,"MO SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|ENID, OK",2023-09-28
"SAINT PAUL, MN",WI N,WI,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,4,25,"WI N|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|SAINT PAUL, MN",2023-09-28
"OTTAWA, IL",IL E,IL,DESTINATION,$/ST,0,60,MAP,2023 Q4,2023-09-28,18,25,"IL E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|OTTAWA, IL",2023-09-28
"INOLA, OK",TX C,TX,DESTINATION,$/ST,0,60,DAP,2023 Q4,2023-09-28,15,25,"TX C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|INOLA, OK",2023-09-28
"WINONA, MN",IA SE,IA,DESTINATION,$/ST,0,60,DAP,2024 Q1,2023-09-28,15,25,"IA SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|WINONA, MN",2023-09-28
"WINONA, MN",MN S,MN,DESTINATION,$/ST,0,60,DAP,2023 Q4,2023-09-28,15,25,"MN S|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|WINONA, MN",2023-09-28
"BILLINGS, MT",OR W,OR,DESTINATION,$/MI,0,60,MAP,2024 Q1,2023-09-28,18,25,"OR W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|0|#|60|#|2024 Q1|#|2023-09-28|#|BILLINGS, MT",2023-09-28
"WILMINGTON, NC",SC E,SC,DESTINATION,$/ST,0,60,MAP,2023 Q4,2023-09-28,18,25,"SC E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|WILMINGTON, NC",2023-09-28
"WINONA, MN",WI SE,WI,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,0,25,"WI SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|WINONA, MN",2023-09-28
"OTTAWA, IL",IA NW,IA,DESTINATION,$/MI,60,9999,MAP,2024 Q1,2023-09-28,0,25,"IA NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|OTTAWA, IL",2023-09-28
,IL/IN/OH,IN,ORIGIN,$/MI,100,150,AMMONIA,FALL 2023,2023-08-18,8.3,20,IL/IN/OH|#|ORIGIN|#|AMMONIA|#|$/MI|#|100|#|150|#|FALL 2023|#|2023-08-18|#|,2023-08-18
"INOLA, OK",KS SC,KS,DESTINATION,$/ST,0,60,DAP,2024 Q1,2023-09-28,15,25,"KS SC|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|INOLA, OK",2023-09-28
"INOLA, OK",MO NE,MO,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,15,25,"MO NE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|INOLA, OK",2023-09-28
"OTTAWA, IL",IA SW,IA,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,18,25,"IA SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|OTTAWA, IL",2023-09-28
"SAINT LOUIS, MO",IL E,IL,DESTINATION,$/ST,0,60,DAP,2023 Q4,2023-09-28,18,25,"IL E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|SAINT LOUIS, MO",2023-09-28
"WILMINGTON, NC",SC NW,SC,DESTINATION,$/ST,0,60,SUPERU,2023 Q4,2023-09-28,18,25,"SC NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|WILMINGTON, NC",2023-09-28
"BURLEY, ID",UT NW,UT,DESTINATION,$/MI,60,9999,SUPERU,2024 Q1,2023-09-28,6,25,"UT NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|BURLEY, ID",2023-09-28
"ENID, OK",TX C,TX,DESTINATION,$/MI,60,9999,UREA,2023 Q4,2023-09-28,4,25,"TX C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|ENID, OK",2023-09-28
"CINCINNATI, OH",IA NW,IA,DESTINATION,$/ST,0,60,MAP,2024 Q1,2023-09-28,18,25,"IA NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|CINCINNATI, OH",2023-09-28
,OK,OK,ORIGIN,$/MI,80,90,UAN,2023 Q4,2023-08-18,5.2,25,OK|#|ORIGIN|#|UAN/ATS/APP|#|$/MI|#|80|#|90|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"INOLA, OK",TX NE,TX,DESTINATION,$/ST,0,60,DAP,2024 Q1,2023-09-28,15,25,"TX NE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|INOLA, OK",2023-09-28
,MN,MN,ORIGIN,$/ST,40,50,10-34-0,2023 Q4,2023-08-18,11.6,25,MN|#|ORIGIN|#|UAN/ATS/APP|#|$/ST|#|40|#|50|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"CINCINNATI, OH",IL W,IL,DESTINATION,$/MI,60,9999,DAP,2024 Q1,2023-09-28,0,25,"IL W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|CINCINNATI, OH",2023-09-28
"SERGEANT BLUFF, IA",NE NW,NE,DESTINATION,$/MI,60,9999,MAP,2024 Q1,2023-09-28,4,25,"NE NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|SERGEANT BLUFF, IA",2023-09-28
"OTTAWA, IL",IA SE,IA,DESTINATION,$/ST,0,60,DAP,2024 Q1,2023-09-28,18,25,"IA SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|OTTAWA, IL",2023-09-28
"OTTAWA, IL",IA NW,IA,DESTINATION,$/ST,0,60,MAP,2023 Q4,2023-09-28,18,25,"IA NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|OTTAWA, IL",2023-09-28
"BURLEY, ID",UT E,UT,DESTINATION,$/MI,60,9999,UREA,2024 Q1,2023-09-28,4.5,25,"UT E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|BURLEY, ID",2023-09-28
"SAINT LOUIS, MO",MO NW,MO,DESTINATION,$/ST,0,60,MAP,2024 Q1,2023-09-28,15,25,"MO NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|SAINT LOUIS, MO",2023-09-28
"MOORLAND, IA",MN C,MN,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,15,25,"MN C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|MOORLAND, IA",2023-09-28
,KS/OK/MO,KS,ORIGIN,$/MI,150,200,AMMONIA,FALL 2023,2023-08-18,6.9,20,KS/OK/MO|#|ORIGIN|#|AMMONIA|#|$/MI|#|150|#|200|#|FALL 2023|#|2023-08-18|#|,2023-08-18
,KS,KS,ORIGIN,$/MI,100,150,ATS,2023 Q4,2023-08-18,4.7,25,KS|#|ORIGIN|#|UAN/ATS/APP|#|$/MI|#|100|#|150|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"ROCK ISLAND, IL",IA SW,IA,DESTINATION,$/ST,0,60,UREA,2024 Q1,2023-09-28,15,25,"IA SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|ROCK ISLAND, IL",2023-09-28
"ENID, OK",MO NW,MO,DESTINATION,$/ST,0,60,DAP,2023 Q4,2023-09-28,15,25,"MO NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|ENID, OK",2023-09-28
"MOORLAND, IA",IL W,IL,DESTINATION,$/MI,60,9999,DAP,2024 Q1,2023-09-28,0,25,"IL W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|MOORLAND, IA",2023-09-28
"ROCK ISLAND, IL",WI SW,WI,DESTINATION,$/ST,0,60,MAP,2023 Q4,2023-09-28,15,25,"WI SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|ROCK ISLAND, IL",2023-09-28
"ENID, OK",KS N,KS,DESTINATION,$/MI,60,9999,UREA,2023 Q4,2023-09-28,3.3,25,"KS N|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|ENID, OK",2023-09-28
"ENID, OK",NE C,NE,DESTINATION,$/ST,0,60,DAP,2023 Q4,2023-09-28,15,25,"NE C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|ENID, OK",2023-09-28
"ROCK ISLAND, IL",IA NW,IA,DESTINATION,$/ST,0,60,DAP,2023 Q4,2023-09-28,15,25,"IA NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|ROCK ISLAND, IL",2023-09-28
"ENID, OK",OK NW,OK,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,4.3,25,"OK NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|ENID, OK",2023-09-28
,IA,IA,ORIGIN,$/ST,70,80,AMMONIA,FALL 2023,2023-08-18,33.3,20,IA|#|ORIGIN|#|AMMONIA|#|$/ST|#|70|#|80|#|FALL 2023|#|2023-08-18|#|,2023-08-18
"SERGEANT BLUFF, IA",NE C,NE,DESTINATION,$/MI,60,9999,UREA,2024 Q1,2023-09-28,4,25,"NE C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|SERGEANT BLUFF, IA",2023-09-28
"CINCINNATI, OH",MN S,MN,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,18,25,"MN S|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|CINCINNATI, OH",2023-09-28
,OK,OK,ORIGIN,$/MI,100,150,UAN,2023 Q4,2023-08-18,4.9,25,OK|#|ORIGIN|#|UAN/ATS/APP|#|$/MI|#|100|#|150|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"CINCINNATI, OH",IA NW,IA,DESTINATION,$/MI,60,9999,SUPERU,2023 Q4,2023-09-28,0,25,"IA NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|CINCINNATI, OH",2023-09-28
"INOLA, OK",MO SW,MO,DESTINATION,$/ST,0,60,UREA,2024 Q1,2023-09-28,15,25,"MO SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|INOLA, OK",2023-09-28
"SAINT PAUL, MN",IA SW,IA,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,15,25,"IA SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|SAINT PAUL, MN",2023-09-28
,MN,MN,ORIGIN,$/MI,80,90,ATS,2023 Q4,2023-08-18,5.3,25,MN|#|ORIGIN|#|UAN/ATS/APP|#|$/MI|#|80|#|90|#|2023 Q4|#|2023-08-18|#|,2023-08-18
,TX,TX,ORIGIN,$/ST,70,80,AMMONIA,FALL 2023,2023-08-18,33.35,20,TX|#|ORIGIN|#|AMMONIA|#|$/ST|#|70|#|80|#|FALL 2023|#|2023-08-18|#|,2023-08-18
"ROCK ISLAND, IL",WI N,WI,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,15,25,"WI N|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|ROCK ISLAND, IL",2023-09-28
"BURLEY, ID",WA E,WA,DESTINATION,$/MI,60,9999,MAP,2024 Q1,2023-09-28,4,25,"WA E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|BURLEY, ID",2023-09-28
"MOORLAND, IA",IL W,IL,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,0,25,"IL W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|MOORLAND, IA",2023-09-28
"SAINT LOUIS, MO",IL E,IL,DESTINATION,$/MI,60,9999,SUPERU,2024 Q1,2023-09-28,0,25,"IL E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|SAINT LOUIS, MO",2023-09-28
"SAINT PAUL, MN",WI SE,WI,DESTINATION,$/ST,0,60,SUPERU,2023 Q4,2023-09-28,15,25,"WI SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|SAINT PAUL, MN",2023-09-28
"SAINT LOUIS, MO",IL W,IL,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,18,25,"IL W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|SAINT LOUIS, MO",2023-09-28
"CINCINNATI, OH",IL W,IL,DESTINATION,$/ST,0,60,SUPERU,2023 Q4,2023-09-28,18,25,"IL W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|CINCINNATI, OH",2023-09-28
"ENID, OK",CO E,CO,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,15,25,"CO E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|ENID, OK",2023-09-28
,ND,ND,ORIGIN,$/ST,40,50,10-34-0,2023 Q4,2023-08-18,12.8,25,ND|#|ORIGIN|#|UAN/ATS/APP|#|$/ST|#|40|#|50|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"OTTAWA, IL",IA SE,IA,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,0,25,"IA SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|OTTAWA, IL",2023-09-28
"BILLINGS, MT",MT S,MT,DESTINATION,$/MI,60,9999,MAP,2024 Q1,2023-09-28,0,25,"MT S|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|BILLINGS, MT",2023-09-28
"ENID, OK",KS SE,KS,DESTINATION,$/ST,0,60,UREA,2024 Q1,2023-09-28,15,25,"KS SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|ENID, OK",2023-09-28
"BURLEY, ID",ID C,ID,DESTINATION,$/MI,60,9999,UREA,2024 Q1,2023-09-28,6.25,25,"ID C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|BURLEY, ID",2023-09-28
"BILLINGS, MT",OR E,OR,DESTINATION,$/MI,60,9999,MAP,2023 Q4,2023-09-28,4,25,"OR E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|BILLINGS, MT",2023-09-28
"OTTAWA, IL",IL W,IL,DESTINATION,$/ST,0,60,UREA,2024 Q1,2023-09-28,18,25,"IL W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|OTTAWA, IL",2023-09-28
,NE,NE,ORIGIN,$/ST,10,20,ATS,2023 Q4,2023-08-18,10.4,25,NE|#|ORIGIN|#|UAN/ATS/APP|#|$/ST|#|10|#|20|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"BURLEY, ID",OR W,OR,DESTINATION,$/ST,0,60,MAP,2024 Q1,2023-09-28,18,25,"OR W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|BURLEY, ID",2023-09-28
"SAINT LOUIS, MO",MO NE,MO,DESTINATION,$/ST,0,60,SUPERU,2023 Q4,2023-09-28,15,25,"MO NE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|SAINT LOUIS, MO",2023-09-28
"CINCINNATI, OH",IA SW,IA,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,0,25,"IA SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|CINCINNATI, OH",2023-09-28
"WINONA, MN",IA NE,IA,DESTINATION,$/ST,0,60,DAP,2023 Q4,2023-09-28,15,25,"IA NE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|WINONA, MN",2023-09-28
"BURLEY, ID",WY E,WY,DESTINATION,$/ST,0,60,SUPERU,2023 Q4,2023-09-28,18,25,"WY E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|BURLEY, ID",2023-09-28
"INOLA, OK",KS SC,KS,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,15,25,"KS SC|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|INOLA, OK",2023-09-28
"WINONA, MN",IA NE,IA,DESTINATION,$/ST,0,60,SUPERU,2023 Q4,2023-09-28,15,25,"IA NE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|WINONA, MN",2023-09-28
,IA,IA,ORIGIN,$/MI,100,150,UAN,2023 Q4,2023-08-18,4.9,25,IA|#|ORIGIN|#|UAN/ATS/APP|#|$/MI|#|100|#|150|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"WINONA, MN",WI SW,WI,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,15,25,"WI SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|WINONA, MN",2023-09-28
"JEFFERSONVILLE, IN",IL E,IL,DESTINATION,$/MI,60,9999,SUPERU,2024 Q1,2023-09-28,0,25,"IL E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|JEFFERSONVILLE, IN",2023-09-28
"JEFFERSONVILLE, IN",MN N,MN,DESTINATION,$/ST,0,60,MAP,2023 Q4,2023-09-28,18,25,"MN N|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|JEFFERSONVILLE, IN",2023-09-28
"ENID, OK",CO E,CO,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,3.8,25,"CO E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|ENID, OK",2023-09-28
"MOORLAND, IA",IA SW,IA,DESTINATION,$/MI,60,9999,UREA,2024 Q1,2023-09-28,4,25,"IA SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|MOORLAND, IA",2023-09-28
"BILLINGS, MT",WA E,WA,DESTINATION,$/MI,60,9999,MAP,2024 Q1,2023-09-28,4,25,"WA E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|BILLINGS, MT",2023-09-28
"BILLINGS, MT",MT W,MT,DESTINATION,$/MI,60,9999,MAP,2023 Q4,2023-09-28,6.5,25,"MT W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|BILLINGS, MT",2023-09-28
"BILLINGS, MT",MT N,MT,DESTINATION,$/MI,60,9999,UREA,2024 Q1,2023-09-28,6,25,"MT N|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|BILLINGS, MT",2023-09-28
"ENID, OK",MO SE,MO,DESTINATION,$/ST,0,60,DAP,2024 Q1,2023-09-28,15,25,"MO SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|ENID, OK",2023-09-28
,IL/IN/OH,OH,ORIGIN,$/ST,60,70,AMMONIA,FALL 2023,2023-08-18,34.6,20,IL/IN/OH|#|ORIGIN|#|AMMONIA|#|$/ST|#|60|#|70|#|FALL 2023|#|2023-08-18|#|,2023-08-18
"BURLEY, ID",ID W,ID,DESTINATION,$/MI,60,9999,DAP,2024 Q1,2023-09-28,5.5,25,"ID W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|BURLEY, ID",2023-09-28
"OTTAWA, IL",IA SE,IA,DESTINATION,$/ST,0,60,SUPERU,2024 Q1,2023-09-28,18,25,"IA SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|OTTAWA, IL",2023-09-28
"INOLA, OK",NE C,NE,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,15,25,"NE C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|INOLA, OK",2023-09-28
"CINCINNATI, OH",IA SW,IA,DESTINATION,$/ST,0,60,MAP,2023 Q4,2023-09-28,18,25,"IA SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|CINCINNATI, OH",2023-09-28
"MOORLAND, IA",MN S,MN,DESTINATION,$/MI,60,9999,SUPERU,2024 Q1,2023-09-28,4.5,25,"MN S|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|MOORLAND, IA",2023-09-28
