origin,region,state,regionType,uom,mileLower,mileUpper,productType,season,entryDate,amount,tons,id,last_update_date
"ROCK ISLAND, IL",MN S,MN,DESTINATION,$/ST,0,60,DAP,2024 Q1,2023-09-28,15,25,"MN S|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|ROCK ISLAND, IL",2023-09-28
"INOLA, OK",NE C,NE,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,3.4,25,"NE C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|INOLA, OK",2023-09-28
"ENID, OK",MO NW,MO,DESTINATION,$/MI,60,9999,SUPERU,2024 Q1,2023-09-28,3.4,25,"MO NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|ENID, OK",2023-09-28
"BURLEY, ID",WA E,WA,DESTINATION,$/ST,0,60,DAP,2023 Q4,2023-09-28,18,25,"WA E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|BURLEY, ID",2023-09-28
"INOLA, OK",CO W,CO,DESTINATION,$/MI,60,9999,UREA,2024 Q1,2023-09-28,0,25,"CO W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|INOLA, OK",2023-09-28
"MOORLAND, IA",IA SW,IA,DESTINATION,$/MI,60,9999,MAP,2024 Q1,2023-09-28,4,25,"IA SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|MOORLAND, IA",2023-09-28
"BURLEY, ID",ID C,ID,DESTINATION,$/MI,60,9999,MAP,2023 Q4,2023-09-28,6.25,25,"ID C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|BURLEY, ID",2023-09-28
"WILMINGTON, NC",SC E,SC,DESTINATION,$/ST,0,60,UREA,2024 Q1,2023-09-28,18,25,"SC E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2024 Q1|#|2023-09-28|#|WILMINGTON, NC",2023-09-28
,NE,NE,ORIGIN,$/MI,50,60,10-34-0,2023 Q4,2023-08-18,6.2,25,NE|#|ORIGIN|#|UAN/ATS/APP|#|$/MI|#|50|#|60|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"SERGEANT BLUFF, IA",MN C,MN,DESTINATION,$/MI,60,9999,MAP,2023 Q4,2023-09-28,4,25,"MN C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|SERGEANT BLUFF, IA",2023-09-28
