originLocation,destinationLocation,equipmentType,carrier,productType,rateType,effectiveDate,expirationDate,miles,fsc,grouping,equipCarCost,equipPerTonCost,totalCost,pvtCarCost,pvtPerTonCost,pvtTotalCost,costPerMile,last_update_date,color,id
"WILMINGTON, NC","ADRIAN, PA",SINGLE,CSXT-NEWCA-BPRR,UREA,T,2023-03-01,2024-02-29,542,,PF - PA PITTSBURGH,7756,79.96,79.96,7371,75.99,75.99,0.1475,2023-03-01,grey,WILMINGTON|#|NC|#|ADRIAN|#|PA|#|CSXT-NEWCA-BPRR|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - PA PITTSBURGH
"ST LOUIS (ALL), MO","GOTHENBURG, NE",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,646,3.33,NE - COZAD,4869,50.2,53.53,4347,44.81,48.14,0.0829,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|GOTHENBURG|#|NE|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|NE - COZAD
"NEW ORLEANS, LA","CHERRYVILLE, NC",SINGLE,CSXT,DAP,T,2023-03-01,2024-02-29,778,,"",5568,57.4,57.4,4767,,49.14,0.0738,2023-03-01,blue,NEW ORLEANS|#|LA|#|CHERRYVILLE|#|NC|#|CSXT|#|SINGLE|#|DAP|#|T|#|2023-03-01|#|2024-02-29|#|
"ROCK ISLAND, IL","BUSSEN SPUR, MO",SINGLE,IAIS-CHGO-UP,UREA,F,,,383,,,,,56.41,,,50.94,0.1473,2023-07-01,grey,ROCK ISLAND|#|IL|#|BUSSEN SPUR|#|MO|#|IAIS-CHGO-UP|#|SINGLE|#|UREA|#|F|#||#||#|
"BEULAH, ND","MURDOCK, MN",SINGLE,BNSF,AMMONIA,T,2023-09-01,2024-02-29,412,,,,,,,237.88,239.62,0.5816,2023-09-01,orange,BEULAH|#|ND|#|MURDOCK|#|MN|#|BNSF|#|SINGLE|#|AMMONIA|#|T|#|2023-09-01|#|2024-02-29|#|
"CHICAGO, IL","KENTON, OH",SINGLE,CSXT,UAN,T,2023-07-01,2024-06-30,291,,PF - OH MORRAL,,,,3530,36.02,36.02,0.1238,2023-07-01,blue,CHICAGO|#|IL|#|KENTON|#|OH|#|CSXT|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|PF - OH MORRAL
"ENID, OK","NOONAN, ND",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,1347,4.58,PT TO PT,,59.11,63.69,,55.88,60.46,0.0473,2023-07-01,orange,ENID|#|OK|#|NOONAN|#|ND|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"BATON ROUGE, LA","MONTREAL CARGOFLO, QC",SINGLE,CN,METHANOL,Q,,,1737,,,,,,6609,,7640.78,0.05,2023-08-15,grey,BATON ROUGE|#|LA|#|MONTREAL CARGOFLO|#|QC|#|CN|#|SINGLE|#|METHANOL|#|Q|#||#||#|
"ST LOUIS (ALL), MO","MADRAS, OR",SINGLE,UP,DAP,T,2023-07-01,2024-06-30,2170,11.19,OR - BEND,10157,104.71,115.9,9068,,104.67,0.0534,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|MADRAS|#|OR|#|UP|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2024-06-30|#|OR - BEND
"ENID, OK","CHICO, CA",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,1977,10.19,CA - NORTH,8286,85.42,95.61,7398,76.27,86.46,0.0484,2023-07-01,red,ENID|#|OK|#|CHICO|#|CA|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|CA - NORTH
