originLocation,destinationLocation,equipmentType,carrier,productType,rateType,effectiveDate,expirationDate,miles,fsc,grouping,equipCarCost,equipPerTonCost,totalCost,pvtCarCost,pvtPerTonCost,pvtTotalCost,costPerMile,last_update_date,color,id
"ENID, OK","ONIDA, SD",SINGLE,BNSF-WOLSY-RCPE,AMMONIA,F,,,923,,,,,,,,512.14,0.5549,2023-09-01,grey,ENID|#|OK|#|ONIDA|#|SD|#|BNSF-WOLSY-RCPE|#|SINGLE|#|AMMONIA|#|F|#||#||#|
"CHALMETTE, LA","MEMPHIS, TN",SINGLE,NS,MAP,Q,,,634,,"",,,,,,34.93,,2023-10-16,grey,CHALMETTE|#|LA|#|MEMPHIS|#|TN|#|NS|#|SINGLE|#|MAP|#|Q|#||#||#|
"WILMINGTON, NC","SOUTH DEERFIELD, MA",SINGLE,CSXT-ROTTJ-PAS,UREA,T,2023-03-01,2024-02-29,931,,PF - VT BURLINGTON,7825,80.67,80.67,6675,68.81,68.81,0.0866,2023-03-01,grey,WILMINGTON|#|NC|#|SOUTH DEERFIELD|#|MA|#|CSXT-ROTTJ-PAS|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - VT BURLINGTON
"ROCK ISLAND, IL","BROWNTON, MN",SINGLE,IAIS-CHGO-UP,MAP,Q,2023-05-30,2023-06-30,552,,,,,,,,71.01,,2023-05-30,grey,ROCK ISLAND|#|IL|#|BROWNTON|#|MN|#|IAIS-CHGO-UP|#|SINGLE|#|MAP|#|Q|#|2023-05-30|#|2023-06-30|#|
"JUDD, IA","ELKHART, IN",SINGLE,CN-CHGO-NS,UAN,F,,,468,,,,,,,,45.55,0.0973,2023-08-01,grey,JUDD|#|IA|#|ELKHART|#|IN|#|CN-CHGO-NS|#|SINGLE|#|UAN|#|F|#||#||#|
"ENID, OK","HARRISBURG, OR",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,2328,7.92,PT TO PT,,82.93,90.85,,79.59,87.51,0.039,2023-07-01,orange,ENID|#|OK|#|HARRISBURG|#|OR|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"ENID, OK","BLUE ISLAND, IL",SINGLE,BNSF,DEF,T,2023-01-01,2023-12-31,764,,,,,,,32.77,36.41,0.0477,2023-10-10,orange,ENID|#|OK|#|BLUE ISLAND|#|IL|#|BNSF|#|SINGLE|#|DEF|#|T|#|2023-01-01|#|2023-12-31|#|
"DEER PARK, TX","MEMPHIS, TN",SINGLE,BNSF,METHANOL,T,2023-10-01,2024-03-31,582,,,,,,5557,,5749.06,0.1123,2023-10-01,orange,DEER PARK|#|TX|#|MEMPHIS|#|TN|#|BNSF|#|SINGLE|#|METHANOL|#|T|#|2023-10-01|#|2024-03-31|#|
"DEER PARK, TX","KANSAS CITY, KS",SINGLE,BNSF,METHANOL,T,2023-10-01,2024-03-31,828,,,,,,5017,,5290.24,0.0726,2023-10-01,orange,DEER PARK|#|TX|#|KANSAS CITY|#|KS|#|BNSF|#|SINGLE|#|METHANOL|#|T|#|2023-10-01|#|2024-03-31|#|
"BRANDON, MB","LORDSTOWN, OH",SINGLE,CPRS-CHGO-CSXT,ATS,F,,,#REF!,,,,,,,,73.36,,2023-07-01,grey,BRANDON|#|MB|#|LORDSTOWN|#|OH|#|CPRS-CHGO-CSXT|#|SINGLE|#|ATS|#|F|#||#||#|
"CHALMETTE, LA","GREENWOOD, DE",SINGLE,NS,UREA,T,2023-08-01,,1215,6.51,,,,,,41.94,48.45,,2023-08-01,grey,CHALMETTE|#|LA|#|GREENWOOD|#|DE|#|NS|#|SINGLE|#|UREA|#|T|#|2023-08-01|#||#|
"BRANDON, MB","VINCENNES, IN",SINGLE,CPRS-CHGO-CSXT,UAN,F,,,1205,,,,,,,,70,0.0581,2023-07-01,grey,BRANDON|#|MB|#|VINCENNES|#|IN|#|CPRS-CHGO-CSXT|#|SINGLE|#|UAN|#|F|#||#||#|
"GRANITE CITY, IL","WHEELER, WA",SINGLE,BNSF,DAP,T,2023-07-01,2023-12-31,2129,7.24,PT TO PT,,88.46,95.7,,,92.41,0.045,2023-07-01,orange,GRANITE CITY|#|IL|#|WHEELER|#|WA|#|BNSF|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"SAINT JAMES, LA","ALGONA, IA",SINGLE,UP-MASCY-CPRS,METHANOL,F,,,1297,,,,,,,,8343.46,0.0731,2023-08-01,grey,SAINT JAMES|#|LA|#|ALGONA|#|IA|#|UP-MASCY-CPRS|#|SINGLE|#|METHANOL|#|F|#||#||#|
"NEWPORT, MN","NORTH TRANSCONA, MB",SINGLE,CPRS,MAP,Q,,,474,2.35,"",4005,41.29,43.63,3641,,39.88,0.0921,2023-07-13,grey,NEWPORT|#|MN|#|NORTH TRANSCONA|#|MB|#|CPRS|#|SINGLE|#|MAP|#|Q|#||#||#|
"ENID, OK","CONEJO, CA",SINGLE,BNSF,UREA,Q,,,1574,5.35,PT TO PT,,82.05,87.4,,78.65,84,0.0555,2023-10-19,orange,ENID|#|OK|#|CONEJO|#|CA|#|BNSF|#|SINGLE|#|UREA|#|Q|#||#||#|PT TO PT
"ENID, OK","SHELBY, MT",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,1525,5.19,PT TO PT,,63.18,68.37,,60.55,65.74,0.0448,2023-07-01,orange,ENID|#|OK|#|SHELBY|#|MT|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"BRANDON, MB","HERMISTON, OR",SINGLE,CPRS-KINGS-UP,UAN,F,,,1201,,,,,,,,79.7,0.0664,2023-07-01,grey,BRANDON|#|MB|#|HERMISTON|#|OR|#|CPRS-KINGS-UP|#|SINGLE|#|UAN|#|F|#||#||#|
"KANSAS CITY, MO","KANSAS CITY, KS",SINGLE,BNSF,METHANOL,T,2023-10-01,2024-03-31,2,,,,,,2556,,2556.66,14.5265,2023-10-01,orange,KANSAS CITY|#|MO|#|KANSAS CITY|#|KS|#|BNSF|#|SINGLE|#|METHANOL|#|T|#|2023-10-01|#|2024-03-31|#|
"ENID, OK","WATKINS, IA",SINGLE,UP,SUPERU,Q,,,650,3.35,,4872,50.23,53.58,4350,44.85,48.2,0.0824,2023-06-09,red,ENID|#|OK|#|WATKINS|#|IA|#|UP|#|SINGLE|#|SUPERU|#|Q|#||#||#|
"GRANITE CITY, IL","SOUTH TORRINGTON, WY",SINGLE,UP,DAP,T,2023-07-01,2024-06-30,900,4.64,WY - EAST,5520,56.91,61.55,4929,,55.45,0.0684,2023-07-01,red,GRANITE CITY|#|IL|#|SOUTH TORRINGTON|#|WY|#|UP|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2024-06-30|#|WY - EAST
"ENID, OK","SPLIT ROCK, MN",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,735,2.5,PT TO PT,,30.46,32.96,,29.19,31.69,0.0448,2023-07-01,orange,ENID|#|OK|#|SPLIT ROCK|#|MN|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"OMAHA, NE","JUDD, IA",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,149,,,,,,5425,69.55,70.69,0.4744,2023-01-01,grey,OMAHA|#|NE|#|JUDD|#|IA|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"NORA SPRINGS, IA","MARBLE ROCK, IA",SINGLE,IANR,ATS,T,2023-07-01,2024-06-30,16,,,,,,735,7.5,7.6,0.4753,2023-07-01,grey,NORA SPRINGS|#|IA|#|MARBLE ROCK|#|IA|#|IANR|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|
"WILMINGTON, NC","MEMPHIS, TN",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,943,,PF - TN MEMPHIS,5066,52.23,52.23,4222,43.53,43.53,0.0554,2023-03-01,blue,WILMINGTON|#|NC|#|MEMPHIS|#|TN|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - TN MEMPHIS
"CHICAGO, IL","BROOKSTON, IN",SINGLE,CSXT,UAN,T,2023-07-01,2024-06-30,108,,PF - IN WHITESVILLE,,,,2920,29.8,29.8,0.2759,2023-07-01,blue,CHICAGO|#|IL|#|BROOKSTON|#|IN|#|CSXT|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|PF - IN WHITESVILLE
"WILMINGTON, NC","COLUMBUS, OH",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,765,,PF - OH COLUMBUS,4846,49.96,49.96,4039,41.64,41.64,0.0653,2023-03-01,blue,WILMINGTON|#|NC|#|COLUMBUS|#|OH|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - OH COLUMBUS
"CHICAGO, IL","MENTONE, IN",SINGLE,NS,UAN,T,2023-08-01,,105,,,,,,,20.9,21.46,0.2044,2023-08-01,grey,CHICAGO|#|IL|#|MENTONE|#|IN|#|NS|#|SINGLE|#|UAN|#|T|#|2023-08-01|#||#|
"ENID, OK","POWELL, WY",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,1223,4.16,PT TO PT,,74.17,78.33,,70.11,74.27,0.064,2023-07-01,orange,ENID|#|OK|#|POWELL|#|WY|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"SAINT LOUIS, MO","LOCKWOOD, MT",SINGLE,BNSF,UREA,T,2023-07-01,2023-12-31,1494,5.08,PT TO PT,,62.98,68.06,,,,0.0456,2023-07-01,orange,SAINT LOUIS|#|MO|#|LOCKWOOD|#|MT|#|BNSF|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"BEAMER, AB","RYCROFT, AB",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,495,,,,,,9263,118.76,123.25,0.249,2023-01-01,grey,BEAMER|#|AB|#|RYCROFT|#|AB|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","LAKE HARBOR, FL",SINGLE,BNSF-MEMPH-CSXT-SBRNF-SCXF,DEF,F,,,1499,,,,,,,,83.32,0.0556,2023-07-01,grey,ENID|#|OK|#|LAKE HARBOR|#|FL|#|BNSF-MEMPH-CSXT-SBRNF-SCXF|#|SINGLE|#|DEF|#|F|#||#||#|
"ST LOUIS (ALL), MO","CLINTON, WI",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,350,1.8,WI - SOUTH,4410,45.46,47.27,3938,40.6,42.4,0.1351,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|CLINTON|#|WI|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|WI - SOUTH
"ENID, OK","LANGDON, ND",85 UT,BNSF,SUPERU,T,2023-07-01,2023-12-31,1171,3.98,85 UT,,47.54,51.52,,45.16,49.14,0.044,2023-07-01,orange,ENID|#|OK|#|LANGDON|#|ND|#|BNSF|#|85 UT|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"JUDD, IA","BURLEY, ID",SINGLE,CN-SXCTY-UP,UAN,F,,,1337,,,,,,,,100.14,0.0749,2023-07-01,grey,JUDD|#|IA|#|BURLEY|#|ID|#|CN-SXCTY-UP|#|SINGLE|#|UAN|#|F|#||#||#|
"BRANDON, MB","KINGSGATE, BC",SINGLE,CPRS,UAN,C,2023-07-01,2024-06-30,875,,,,,,3788,38.65,43.37,0.0496,2023-07-01,grey,BRANDON|#|MB|#|KINGSGATE|#|BC|#|CPRS|#|SINGLE|#|UAN|#|C|#|2023-07-01|#|2024-06-30|#|
"SAINT LOUIS, MO","BEARDSLEY, SD",85 UT,BNSF,DAP,T,2023-07-01,2023-12-31,731,2.49,85 UT,,30.75,33.24,,,,0.0455,2023-07-01,orange,SAINT LOUIS|#|MO|#|BEARDSLEY|#|SD|#|BNSF|#|85 UT|#|DAP|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"BRANDON, MB","RISING SUN, OH",SINGLE,CPRS-CHGO-CSXT,UAN,F,,,1229,,,,,,,,70.63,0.0575,2023-07-01,grey,BRANDON|#|MB|#|RISING SUN|#|OH|#|CPRS-CHGO-CSXT|#|SINGLE|#|UAN|#|F|#||#||#|
"WILMINGTON, NC","JOHNSTON, SC",SINGLE,CSXT-CHLTE-NS,UREA,F,,,346,,,,,55.63,,,41.05,0.1608,2023-08-01,grey,WILMINGTON|#|NC|#|JOHNSTON|#|SC|#|CSXT-CHLTE-NS|#|SINGLE|#|UREA|#|F|#||#||#|
"ENID, OK","ALTON, ND",85 UT,BNSF,SUPERU,T,2023-07-01,2023-12-31,1045,3.56,85 UT,,41.23,44.79,,39.17,42.73,0.0429,2023-07-01,orange,ENID|#|OK|#|ALTON|#|ND|#|BNSF|#|85 UT|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"ENID, OK","HAMLIN, SK",SINGLE,BNSF-SUPER-CN,SUPERU,Q,,,2032,,,,,97.78,,,87.95,0.0481,2023-10-16,grey,ENID|#|OK|#|HAMLIN|#|SK|#|BNSF-SUPER-CN|#|SINGLE|#|SUPERU|#|Q|#||#||#|
"ENID, OK","JOHNSTOWN, CO",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,836,4.31,CO - DENVER,4945,50.98,55.29,4416,45.53,49.84,0.0661,2023-07-01,red,ENID|#|OK|#|JOHNSTOWN|#|CO|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|CO - DENVER
"JUDD, IA","REEDSBURG, WI",SINGLE,CN-CHGO-WSOR,UAN,F,,,562,,,,,,,,43.03,0.0766,2023-08-01,grey,JUDD|#|IA|#|REEDSBURG|#|WI|#|CN-CHGO-WSOR|#|SINGLE|#|UAN|#|F|#||#||#|
"ENID, OK","CENTRAL FERRY, WA",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,2041,6.94,PT TO PT,,69.69,76.63,,64.11,71.05,0.0375,2023-07-01,orange,ENID|#|OK|#|CENTRAL FERRY|#|WA|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"ST LOUIS (ALL), MO","REDMOND, OR",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,2214,11.41,OR - BEND,10079,103.91,115.32,8999,92.77,104.19,0.0521,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|REDMOND|#|OR|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|OR - BEND
"NEW ORLEANS, LA","EL CENTRO, CA",SINGLE,UP,DAP,T,2023-07-01,2024-06-30,1801,9.28,CA - SOUTH,11065,114.07,123.36,9879,,111.13,0.0685,2023-07-01,red,NEW ORLEANS|#|LA|#|EL CENTRO|#|CA|#|UP|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2024-06-30|#|CA - SOUTH
"EAST SAINT LOUIS, IL","SMITHVILLE, OH",SINGLE,NS,UREA,T,2023-08-01,,492,2.64,,,38.66,41.3,,34.59,37.23,0.0839,2023-08-01,grey,EAST SAINT LOUIS|#|IL|#|SMITHVILLE|#|OH|#|NS|#|SINGLE|#|UREA|#|T|#|2023-08-01|#||#|
"NEW ORLEANS, LA","SERGEANT BLUFF, IA",SINGLE,UP,DAP,T,2023-07-01,2024-06-30,1275,6.57,IA - SLOAN,6746,69.55,76.12,6024,,68.68,0.0597,2023-07-01,red,NEW ORLEANS|#|LA|#|SERGEANT BLUFF|#|IA|#|UP|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2024-06-30|#|IA - SLOAN
"HOAG, NE","MERNA, NE",SINGLE,BNSF,UAN,C,2023-07-01,2023-12-31,220,,,,,,,27.83,28.57,0.1299,2023-07-01,orange,HOAG|#|NE|#|MERNA|#|NE|#|BNSF|#|SINGLE|#|UAN|#|C|#|2023-07-01|#|2023-12-31|#|
"ROSEPORT, MN","ACEQUIA, ID",SINGLE,UP,ATS,T,2023-07-01,2024-06-30,1463,,ID - POCATELLO,,,,7545,76.99,84.45,0.0577,2023-07-01,red,ROSEPORT|#|MN|#|ACEQUIA|#|ID|#|UP|#|SINGLE|#|ATS|#|T|#|2023-07-01|#|2024-06-30|#|ID - POCATELLO
"NOYES, MN","EDISON, NE",SINGLE,BNSF,ATS,C,2023-01-01,2023-12-31,891,,,,,,,52.93,55.93,0.0628,2022-07-01,orange,NOYES|#|MN|#|EDISON|#|NE|#|BNSF|#|SINGLE|#|ATS|#|C|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","LITTLE FALLS, MN",SINGLE,BNSF,DEF,Q,,,1061,,,,,,,50.6,53.93,0.0508,2023-01-01,orange,ENID|#|OK|#|LITTLE FALLS|#|MN|#|BNSF|#|SINGLE|#|DEF|#|Q|#||#||#|
"CHARLOTTE, NC","NORTH JAVA, NY",SINGLE,NS,UREA,T,2023-08-01,,937,5.02,,,42.42,47.44,,38.38,43.4,0.0506,2023-08-01,grey,CHARLOTTE|#|NC|#|NORTH JAVA|#|NY|#|NS|#|SINGLE|#|UREA|#|T|#|2023-08-01|#||#|
"COUNCIL BLUFFS, IA","IOWA CITY, IA",SINGLE,IAIS,10-34-0,T,2023-10-01,2024-09-30,254,,IOWA CITY IAIS GRP,,,,2039,20.81,22.98,0.0905,2023-10-01,grey,COUNCIL BLUFFS|#|IA|#|IOWA CITY|#|IA|#|IAIS|#|SINGLE|#|10-34-0|#|T|#|2023-10-01|#|2024-09-30|#|IOWA CITY IAIS GRP
"ENID, OK","NEHAWKA, NE",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,467,2.41,NE - SYRACUSE,4264,43.96,46.37,3806,39.24,41.64,0.0993,2023-07-01,red,ENID|#|OK|#|NEHAWKA|#|NE|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|NE - SYRACUSE
"ENID, OK","KERSHAW, MT",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,1647,5.6,PT TO PT,,59.93,65.53,,57.43,63.03,0.0398,2023-07-01,orange,ENID|#|OK|#|KERSHAW|#|MT|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"ST LOUIS (ALL), MO","OLATHE, CO",SINGLE,UP,MAP,T,2023-07-01,2024-06-30,1245,6.42,CO - GRAND JCT,6347,65.43,71.85,5668,,64.85,0.0577,2023-07-01,red,ST LOUIS (ALL)|#|MO|#|OLATHE|#|CO|#|UP|#|SINGLE|#|MAP|#|T|#|2023-07-01|#|2024-06-30|#|CO - GRAND JCT
"CHICAGO, IL","CUSTAR, OH",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,216,,PF - OH STANDLEY,3734,38.49,38.49,3111,32.07,32.07,0.1782,2023-03-01,blue,CHICAGO|#|IL|#|CUSTAR|#|OH|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - OH STANDLEY
"ENID, OK","CRYSTAL, ND",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,1138,3.87,PT TO PT,,51.23,55.1,,49.09,52.96,0.0484,2023-07-01,orange,ENID|#|OK|#|CRYSTAL|#|ND|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"ENID, OK","LITTLEFIELD, TX",SINGLE,BNSF,SUPERU,T,2023-07-01,2023-12-31,419,1.43,PT TO PT,,36.97,38.4,,27.94,29.37,0.0916,2023-07-01,orange,ENID|#|OK|#|LITTLEFIELD|#|TX|#|BNSF|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2023-12-31|#|PT TO PT
"BRANDON, MB","ST JEAN-SUR-RICHELIEU, QC",SINGLE,CN,AMMONIA,T,2023-01-01,2023-12-31,1687,,,,,,32030,410.64,425.96,0.2525,2023-01-01,grey,BRANDON|#|MB|#|ST JEAN-SUR-RICHELIEU|#|QC|#|CN|#|SINGLE|#|AMMONIA|#|T|#|2023-01-01|#|2023-12-31|#|
"BRANDON, MB","KIDRON, OH",SINGLE,CPRS-CHGO-CSXT-GRNWH-WE,ATS,F,,,1340,,,,,,,,81.49,0.0608,2023-07-01,grey,BRANDON|#|MB|#|KIDRON|#|OH|#|CPRS-CHGO-CSXT-GRNWH-WE|#|SINGLE|#|ATS|#|F|#||#||#|
"SAINT LOUIS, MO","ULEN, MN",85 UT,BNSF,DAP,T,2023-07-01,2023-12-31,1075,3.66,85 UT,,40.19,43.85,,,,0.0408,2023-07-01,orange,SAINT LOUIS|#|MO|#|ULEN|#|MN|#|BNSF|#|85 UT|#|DAP|#|T|#|2023-07-01|#|2023-12-31|#|85 UT
"HOAG, NE","RAVENNA, NE",SINGLE,BNSF,UAN,C,2023-07-01,2023-12-31,163,,,,,,,23.24,23.79,0.1459,2023-07-01,orange,HOAG|#|NE|#|RAVENNA|#|NE|#|BNSF|#|SINGLE|#|UAN|#|C|#|2023-07-01|#|2023-12-31|#|
"CHICAGO, IL","COQUITLAM, BC",SINGLE,CN,METHANOL,Q,,,2392,,,,,,7586,,9006.85,0.0428,2023-07-25,grey,CHICAGO|#|IL|#|COQUITLAM|#|BC|#|CN|#|SINGLE|#|METHANOL|#|Q|#||#||#|
"MADISON, WI","ADELL, WI",SINGLE,WSOR,UAN,T,2023-08-01,2024-07-31,152,,,,,,,16.39,17.69,0.1164,2023-08-01,grey,MADISON|#|WI|#|ADELL|#|WI|#|WSOR|#|SINGLE|#|UAN|#|T|#|2023-08-01|#|2024-07-31|#|
"JUDD, IA","WAYLAND, MI",SINGLE,CN-KALAM-GDLK,UAN,C,2023-01-01,2023-12-31,565,,,,,,4008,40.9,44.32,0.0784,2023-01-01,grey,JUDD|#|IA|#|WAYLAND|#|MI|#|CN-KALAM-GDLK|#|SINGLE|#|UAN|#|C|#|2023-01-01|#|2023-12-31|#|
"ENID, OK","COMANCHE, TX",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,384,1.98,TX - FWWR,3350,34.54,36.52,2991,30.84,32.81,0.0951,2023-07-01,red,ENID|#|OK|#|COMANCHE|#|TX|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|TX - FWWR
"ENID, OK","FREMONT, CA",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,2220,11.44,CA - SACRAMENTO,8753,90.24,101.68,7815,80.57,92.01,0.0458,2023-07-01,red,ENID|#|OK|#|FREMONT|#|CA|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|CA - SACRAMENTO
"BRANDON, MB","EDON, OH",SINGLE,CPRS-CHGO-NS,10-34-0,F,,,1172,,,,,,,,63.99,0.0546,2023-08-01,grey,BRANDON|#|MB|#|EDON|#|OH|#|CPRS-CHGO-NS|#|SINGLE|#|10-34-0|#|F|#||#||#|
"NEW ORLEANS, LA","LEBANON, WI",SINGLE,UP,DAP,T,2023-07-01,2024-06-30,1239,6.39,WI - SOUTH,6746,69.55,75.93,6024,,68.49,0.0613,2023-07-01,red,NEW ORLEANS|#|LA|#|LEBANON|#|WI|#|UP|#|SINGLE|#|DAP|#|T|#|2023-07-01|#|2024-06-30|#|WI - SOUTH
"BRANDON, MB","WAYLAND, MI",SINGLE,CPRS-CHGO-CSXT-GDRAP-GDLK,UAN,F,,,1196,,,,,,,,59.48,0.0497,2023-07-01,grey,BRANDON|#|MB|#|WAYLAND|#|MI|#|CPRS-CHGO-CSXT-GDRAP-GDLK|#|SINGLE|#|UAN|#|F|#||#||#|
"ENID, OK","MITCHELL, ID",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,1347,6.94,ID - IDAHO FALLS,7779,80.2,87.14,6946,71.61,78.55,0.0647,2023-07-01,red,ENID|#|OK|#|MITCHELL|#|ID|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|ID - IDAHO FALLS
"JUDD, IA","OSHKOSH, WI",SINGLE,CN-CHGO-WSOR,UAN,F,,,558,,,,,,,,45.02,0.0807,2023-08-01,grey,JUDD|#|IA|#|OSHKOSH|#|WI|#|CN-CHGO-WSOR|#|SINGLE|#|UAN|#|F|#||#||#|
"WYCON, WY","HAZELTON, ID",SINGLE,UP,UAN,T,2023-07-01,2024-06-30,638,,ID - GOODING,,,,6018,61.41,64.66,0.1014,2023-07-01,red,WYCON|#|WY|#|HAZELTON|#|ID|#|UP|#|SINGLE|#|UAN|#|T|#|2023-07-01|#|2024-06-30|#|ID - GOODING
"NEW ORLEANS, LA","GRAYLING, MI",SINGLE,CSXT-PLYMT-LSRC,METHANOL,C,2023-03-01,2023-12-31,1299,,,,,,6784,,7628.35,0.0667,2023-03-01,grey,NEW ORLEANS|#|LA|#|GRAYLING|#|MI|#|CSXT-PLYMT-LSRC|#|SINGLE|#|METHANOL|#|C|#|2023-03-01|#|2023-12-31|#|
"ENID, OK","LAKE MILLS, IA",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,818,4.22,IA - INTERIOR IOWA HEAVY,4626,47.69,51.91,4130,42.58,46.79,0.0635,2023-07-01,red,ENID|#|OK|#|LAKE MILLS|#|IA|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|IA - INTERIOR IOWA HEAVY
"WILMINGTON, NC","MANNING, SC",SINGLE,CSXT,UREA,T,2023-03-01,2024-02-29,250,,PF - SC ORANGEBURG,3657,37.7,37.7,3048,31.42,31.42,0.1508,2023-03-01,blue,WILMINGTON|#|NC|#|MANNING|#|SC|#|CSXT|#|SINGLE|#|UREA|#|T|#|2023-03-01|#|2024-02-29|#|PF - SC ORANGEBURG
"WOLSEY, SD","FORT PIERRE, SD",SINGLE,RCPE,UREA,T,2023-04-01,2024-03-31,215,1.06,,1413,14.57,15.63,1335,13.76,14.83,0.0727,2023-04-01,grey,WOLSEY|#|SD|#|FORT PIERRE|#|SD|#|RCPE|#|SINGLE|#|UREA|#|T|#|2023-04-01|#|2024-03-31|#|
"ENID, OK","BROADWATER, NE",SINGLE,UP,UREA,T,2023-07-01,2024-06-30,699,3.6,NE - CHAPPELL,3909,40.3,43.9,3491,35.99,39.59,0.0628,2023-07-01,red,ENID|#|OK|#|BROADWATER|#|NE|#|UP|#|SINGLE|#|UREA|#|T|#|2023-07-01|#|2024-06-30|#|NE - CHAPPELL
"ENID, OK","HAVEN, KS",SINGLE,UP,SUPERU,T,2023-07-01,2024-06-30,134,0.69,KS - KO,2522,26,26.69,2252,23.22,23.91,0.1992,2023-07-01,red,ENID|#|OK|#|HAVEN|#|KS|#|UP|#|SINGLE|#|SUPERU|#|T|#|2023-07-01|#|2024-06-30|#|KS - KO
"ENID, OK","SALTCOATS, SK",SINGLE,BNSF-KCITY-CPRS,UREA,F,,,1695,,,,,93.05,,,70.49,0.0549,2023-07-01,grey,ENID|#|OK|#|SALTCOATS|#|SK|#|BNSF-KCITY-CPRS|#|SINGLE|#|UREA|#|F|#||#||#|
"BEULAH, ND","EDWALL, WA",SINGLE,BNSF,AMMONIA,T,2023-09-01,2024-02-29,1177,,,,,,,509.43,514.41,0.4371,2023-09-01,orange,BEULAH|#|ND|#|EDWALL|#|WA|#|BNSF|#|SINGLE|#|AMMONIA|#|T|#|2023-09-01|#|2024-02-29|#|
