Rate Definition ID,Rate Schedule,Provider Charge Type,Charge Unit,Start Date,End Date,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate,Rate Override,Custody Contract,Shipper,Custody Deal,Buy/Sell Deal,Comments,Product Category,Products
177118,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,CLOW,Fixed,,Delivery,0.50211,,,,,,,All,None
177219,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,CLOW,Fixed,,Delivery,0.50211,,,,,,,All,None
177136,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,CLOW,Fixed,,Delivery,0,,,,,,,All,None
177237,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FARWELL,Location,CLOW,Fixed,,Delivery,0,,,,,,,All,None
177153,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,CLOW,Fixed,,Delivery,0,,,,,,,All,None
177254,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,FORTUNE LAKE,Location,CLOW,Fixed,,Delivery,0,,,,,,,All,None
177166,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,RATTLE RUN,Location,CLOW,Fixed,,Delivery,0,,,,,,,All,None
177267,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,RATTLE RUN,Location,CLOW,Fixed,,Delivery,0,,,,,,,All,None
177177,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,CLOW,Fixed,,Delivery,0,,,,,,,All,None
177278,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,ST.CLAIR,Location,CLOW,Fixed,,Delivery,0,,,,,,,All,None
177096,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CARLTON,Location,DEWARD,Fixed,,Delivery,1.31,,,,,,,All,None
177197,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,CARLTON,Location,DEWARD,Fixed,,Delivery,1.31,,,,,,,All,None
177119,FT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,DEWARD,Fixed,,Delivery,1.83754,,,,,,,All,None
177220,IT,FUEL,Percent,6/1/2024,6/30/2024,TR,,Location,EMERSON,Location,DEWARD,Fixed,,Delivery,1.83754,,,,,,,All,None
