locationName,occupantPartyName,occupantType,statesTheyCompeteIn,occupantPartyId
COTTON GROWERS-ALTUS,ADM FERTILIZER DIVISION OF ARCHER DANIELS MIDLAND,Customer,,0017000000yIUjP
COTTONWOOD COOP-COTTONWOOD,COTTONWOOD COOP OIL COMPANY,Customer,"",0017000000yW3zD
COUNTRY PARTNERS-ALBION,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-ANSLEY,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-ARNOLD,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-BARTLETT,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-CALLAWAY,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-CEDAR RAPIDS,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-COZAD,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-EUSTIS,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-EWING,COUNTRY PARTNERS COOPERATIVE,Customer,,0017000000yIUaR
COUNTRY PARTNERS-GOTHENBURG,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-GREELEY,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-LEXINGTON,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-MERNA,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-NORTH LOUP,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-ORD,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-SPALDING,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-STAPLETON,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PARTNERS-WESTERVILLE,COUNTRY PARTNERS COOPERATIVE,Customer,"",0017000000yIUaR
COUNTRY PRIDE-BINGHAM LAKE,COUNTRY PRIDE SERVICES COOP,Customer,"",0017000000yIV0X
COUNTRY PRIDE-MOUNTAIN LAKE,COUNTRY PRIDE SERVICES COOP,Customer,"",0017000000yIV0X
COUNTRY PRIDE-WINNER,COUNTRY PRIDE SERVICES COOP,Customer,"",0017000000yIV0X
COUNTRY VISIONS-CENTER VALLEY,COUNTRY VISIONS COOPERATIVE,Customer,"",0017000000yIUWn
COUNTRY VISIONS-CHILTON WI,COUNTRY VISIONS COOPERATIVE,Customer,,0017000000yIUWn
COUNTRY VISIONS-CHILTON WI,KOCH FERTILIZER LLC,Koch,WI,0017000000yIUvv
COUNTRY VISIONS-FRANCIS CREEK,COUNTRY VISIONS COOPERATIVE,Customer,"",0017000000yIUWn
COUNTRY VISIONS-MANITOWOC,COUNTRY VISIONS COOPERATIVE,Customer,"",0017000000yIUWn
COUNTRY VISIONS-PLYMOUTH,COUNTRY VISIONS COOPERATIVE,Customer,,0017000000yIUWn
COUNTRY VISIONS-READFIELD,COUNTRY VISIONS COOPERATIVE,Customer,"",0017000000yIUWn
COUNTRY VISIONS-RIPON,COUNTRY VISIONS COOPERATIVE,Customer,,0017000000yIUWn
COUNTRY VISIONS-VALDERS,COUNTRY VISIONS COOPERATIVE,Customer,,0017000000yIUWn
COUNTRY VISIONS-WRIGHTSTOWN,COUNTRY VISIONS COOPERATIVE,Customer,"",0017000000yIUWn
COUNTY TOP-MENDON,WILBURELLIS COMPANY,Customer,,0017000000yIUoL
"COURTRIGHT, ON - CF",CF INDUSTRIES INC,Competitor,MI|ONT|OH|IN|IL|PA|NY,0017000000yIV1T
"COWDEN, IL - CF",CF INDUSTRIES INC,Competitor,IL|KY|IN,0017000000yIV1T
CP KELCO-OKMULGEE,MUSKET CORPORATION,Customer,,0017000001GQTUq
CPI BLADENCAMPBELL-BLADEN,COOPERATIVE PRODUCERS INC,Customer,,0017000001BfwGG
CPI SUTTON-SUTTON,INTERNATIONAL CHEMICAL COMPANY,Customer,,0017000000yIUxE
CRESTON FERTILIZER-BELGRADE,CRESTON FERTILIZER CO INC,Customer,"",0017000000yIV0V
CRESTON FERTILIZER-BLENCOE,CRESTON FERTILIZER CO INC,Customer,,0017000000yIV0V
CRESTON FERTILIZER-COLUMBUS,CRESTON FERTILIZER CO INC,Customer,"",0017000000yIV0V
CRESTON FERTILIZER-CRESTON,CRESTON FERTILIZER CO INC,Customer,"",0017000000yIV0V
CRESTON FERTILIZER-MADISON,CRESTON FERTILIZER CO INC,Customer,"",0017000000yIV0V
CRESTON FERTILIZER-NORTH BEND,CRESTON FERTILIZER CO INC,Customer,"",0017000000yIV0V
CRESTON FERTILIZER-OSCEOLA,CRESTON FERTILIZER CO INC,Customer,"",0017000000yIV0V
CROP SCIENCE-ELMORE,CROP SCIENCE INVESTIGATION LLC,Customer,"",0014u0000248BQ2
CROP SCIENCE-NICOLLET,CROP SCIENCE INVESTIGATION LLC,Customer,"",0014u0000248BQ2
CROSSBELL FARMS-DEERFIELD,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
CROSSROADS AG-STRUM,CROSSROADS AG LLC,Customer,"",00170000011HBzl
CRYSTAL VALLEY-DARFUR,CRYSTAL VALLEY COOPERATIVE,Customer,"",0017000000yIV0R
CRYSTAL VALLEY-GLENVILLE,CRYSTAL VALLEY COOPERATIVE,Customer,"",0017000000yIV0R
CRYSTAL VALLEY-HAYWARD,CRYSTAL VALLEY COOPERATIVE,Customer,"",0017000000yIV0R
CRYSTAL VALLEY-JACKSON,CRYSTAL VALLEY COOPERATIVE,Customer,"",0017000000yIV0R
CRYSTAL VALLEY-JANESVILLE,CRYSTAL VALLEY COOPERATIVE,Customer,"",0017000000yIV0R
CRYSTAL VALLEY-LA SALLE,CRYSTAL VALLEY COOPERATIVE,Customer,"",0017000000yIV0R
CRYSTAL VALLEY-MADELIA,CRYSTAL VALLEY COOPERATIVE,Customer,"",0017000000yIV0R
CRYSTAL VALLEY-NICOLLET,CRYSTAL VALLEY COOPERATIVE,Customer,,0017000000yIV0R
CRYSTAL VALLEY-VERNON CENTER,CRYSTAL VALLEY COOPERATIVE,Customer,"",0017000000yIV0R
CRYSTAL VALLEY-WALDORF,CRYSTAL VALLEY COOPERATIVE,Customer,"",0017000000yIV0R
CUL-MAC INDUSTRIES (WAYNE),AMERICHEM SALES COMPANY,Customer,,0014u000020TT9a
CUL-MAC INDUSTRIES (WAYNE),WEBB CHEMICAL SERVICES CORP,Customer,,0017000001KuqRM
CUNNINGHAM FARMS-CRAIG,CUNNINGHAM FARMS INC,Customer,"",0017000000yIV0Q
CURE BROTHERS-BETHUNE,CRESTON FERTILIZER CO INC,Customer,,0017000000yIV0V
CUSTER CITY-CUSTER CITY,FARMERS COOPERATIVE OF WESTERN OKLAHOMA,Customer,,0017000000yIV0P
CUSTOM CROP-CONRAD,CUSTOM CROP CARE INC,Customer,,0017000000yIUmU
CUSTOMER ONE-MERRILL,CUSTOMER ONE COOPERATIVE,Customer,"",0017000000yIUWL
CVA COOPERATIVE-MONROE,INTERNATIONAL CHEMICAL COMPANY,Customer,,0017000000yIUxE
CVR COFFEYVILLE,CVR PARTNERS LP,Competitor,KS|MO|OK,0017000000yIVwX
CYANCO -WINNEMUCCA,CYANCO COMPANY LLC,Customer,,0017000000yIV0O
CYPLUS -LAREDO,CYPLUS IDESA SAPI DE CV,Customer,,0010g00001d4I5T
DACOMA FARMERS-DACOMA,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
DAKOTA AG-BRITTON,DAKOTA AG SERVICE INC,Customer,"",0017000000yIUXs
DAKOTA AGRONOMY-ANTLER,DAKOTA AGRONOMY PARTNERS LLC,Customer,,0017000000yW3yc
DAKOTA AGRONOMY-BOTTINEAU,DAKOTA AGRONOMY PARTNERS LLC,Customer,,0017000000yW3yc
DAKOTA AGRONOMY-GARDENA,DAKOTA AGRONOMY PARTNERS LLC,Customer,,0017000000yW3yc
DAKOTA AGRONOMY-GLENBURN,DAKOTA AGRONOMY PARTNERS LLC,Customer,,0017000000yW3yc
DAKOTA AGRONOMY-KRAMER,DAKOTA AGRONOMY PARTNERS LLC,Customer,,0017000000yW3yc
DAKOTA AGRONOMY-MINOT,DAKOTA AGRONOMY PARTNERS LLC,Customer,,0017000000yW3yc
DAKOTA AGRONOMY-NEWBURG,DAKOTA AGRONOMY PARTNERS LLC,Customer,,0017000000yW3yc
DAKOTA AGRONOMY-SOURIS,DAKOTA AGRONOMY PARTNERS LLC,Customer,,0017000000yW3yc
DAKOTA AGRONOMY-WASHBURN,DAKOTA AGRONOMY PARTNERS LLC,Customer,,0017000000yW3yc
DAKOTA BULK ST PAUL,AMEROPA NORTH AMERICA INC,Competitor,MN|ND|SD|IA|MN|WI,0017000000yIV2a
DAKOTA BULK ST PAUL,THORAG LLC,Competitor,MN|ND|SD|IA|MN|WI,0017000000yJDJ2
DAKOTA MILL-FORT PIERRE,DAKOTA MILL GRAIN INC,Customer,"",0017000000yIV0I
DAKOTA MILL-HIGHMORE,DAKOTA MILL GRAIN INC,Customer,,0017000000yIV0I
DAKOTA MILL-RAPID CITY,DAKOTA MILL GRAIN INC,Customer,"",0017000000yIV0I
DAKOTA MILL-WALL,DAKOTA MILL GRAIN INC,Customer,"",0017000000yIV0I
DANA CONTAINER (KANSAS CITY),EATON CHEMICAL INC.,Customer,,0014u00001yTWwU
"DANVILLE, IL - MACROSOURCE",MACROSOURCE LLC,Competitor,IL|IN,0014u00001zo2Xu
"DANVILLE, IL - MACROSOURCE",NUTRIEN AG SOLUTIONS INC,Customer,"",0017000000yIV0T
DAVID DESLAURIERS-SHERWOOD,BOWERS AERIAL LLC,Customer,,0014u00001txdls
DEBOER AG-ORAL,DEBOER AG SERVICE LLC,Customer,"",0017000000yW3hr
DELEK RENEWABLES (CLEBURNE),DELEK RENEWABLES LLC,Customer,,0017000000yITAk
DELL RAPIDS-DELL RAPIDS,DELL RAPIDS COOP GRAIN CO,Customer,"",0017000000yIUXk
DENNIS OIL-SPRINGFIELD,DENNIS OIL COMPANY,Customer,,0014u00002AkSIp
DFI INC (KANSAS CITY),DFI INC,Customer,,0014u00001yRPHN
DFI INC (KANSAS CITY),EATON CHEMICAL INC.,Customer,,0014u00001yTWwU
DFI INC (KANSAS CITY),KOCH METHANOL LLC,Koch,MO|MB|ND|SK|ID|SD|MI|IL|NE|MT|IA|CA|AB|WY|OR|OH|WA|UT|MN|TN|WI|AZ|IN|KS|OK,0017000000yIUw1
DIETERICH FARMS-RIESEL,FALCON FERTILIZER INC,Customer,,0017000000yIUzN
DILLON PAGE-ARDMORE,MUSKET CORPORATION,Customer,,0017000001GQTUq
DISHMAN FERTILIZER-HELENA,DISHMAN FERTILIZER INC,Customer,"",0017000000yIPwW
DISTRIBUTION UNLIMITED-GUILDERLAND CENTER,CAROLINA EASTERN INC,Customer,,0017000000yIW4K
DIVERSIFIED INGREDIENTS-MEADVILLE,CENTERRA COOP,Customer,,0017000000yIUpj
"DONALDSONVILLE, LA - CF",CF INDUSTRIES INC,Competitor,TX|LA|AR|OK|MS|AL,0017000000yIV1T
DONNELLY COOP-DONNELLY,DONNELLY COOP,Customer,"",0017000001UwnHZ
DONOVAN FARMERS-DONOVAN,DONOVAN FARMERS COOP ELEVATOR INC,Customer,"",0017000000zYCsb
DOOR COUNTY-STURGEON BAY,DOOR COUNTY COOPERATIVE,Customer,"",0017000000yIPx2
DORCHESTER FARMERS-PLYMOUTH,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
DOUGLAS COUNTY-WILBUR,DOUGLAS COUNTY FARMERS COOP,Customer,,0017000001UwyVH
DOW SILICONES (MIDLAND),DOW SILICONES CORPORATION,Customer,,00170000012yAST
"DUBUQUE, IA - MACROSOURCE",MACROSOURCE LLC,Competitor,IL|WI|MN|IA,0014u00001zo2Xu
DUNE CO-IMPERIAL,THE DUNE COMPANY OF YUMA LLC,Customer,,0017000000yIUbv
DUNE COMPANY-YUMA,THE DUNE COMPANY OF YUMA LLC,Customer,,0017000000yIUbv
DUNKERTON COOPERATIVE-DUNKERTON,DUNKERTON COOPERATIVE ELEVATOR,Customer,"",0017000000yIPy3
DUNKERTON COOPERATIVE-DUNKERTON,WINFIELD SOLUTIONS LLC,Customer,"",0017000000yIUl7
DUNKERTON COOPERATIVE-LA PORTE CITY,DUNKERTON COOPERATIVE ELEVATOR,Customer,"",0017000000yIPy3
DUNKERTON COOPERATIVE-LAPORTE CITY,DUNKERTON COOPERATIVE ELEVATOR,Customer,"",0017000000yIPy3
DWAYNE DEGROOTE-SHELL ROCK,USA FOR HEARTLAND COOP WEST DES MOINES IA,Customer,,0017000000yIUpJ
DYNO NOBEL-BIWABIK,AUSTIN POWDER COMPANY,Customer,,0017000000yIUnQ
DYNO NOBEL-LOUISIANA,DYNO NOBEL LOUISIANA AMMONIA LLC,Customer,"",0017000001SOPgX
DYNO ST. HELENS,DYNO NOBEL INC,Competitor,WA|OR|CA,0017000000yIW3v
"EAST DUBUQUE, IL - CVR",CVR PARTNERS LP,Competitor,IL|WI|MN|IA,0017000000yIVwX
"EAST DUBUQUE, IL - CVR",EAST DUBUQUE NITROGEN FERTILIZERS LLC,Competitor,IL|WI|MN|IA,0017000000yIUrT
EAST LYNN-HOOPESTON,EAST LYNN FERTILIZER INC,Customer,,0017000000yIUzq
EASTMAN CHEMICAL (KINGSPORT),EASTMAN CHEMICAL CO,Customer,,0017000001AizoD
EAU CLAIRE-LAKEVILLE,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
ECKROAT SEED-OKLAHOMA CITY,ECKROAT SEED CO,Customer,,00170000013htGm
EDWIN SPANIEL-WAXAHACHIE,AIRGAS SPECIALTY PRODUCTS INC,Customer,,0017000000yIV2m
EFFINGHAM EQUITY-ALMA,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-ALTAMONT,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-ARCOLA,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-BREESE,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-CHRISMAN,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-DIETERICH,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-EFFINGHAM,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-GREENVILLE,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-LOVINGTON,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-MARSHALL,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-MONTROSE,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-PANA,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-PANA,KOCH FERTILIZER LLC,Koch,IL|MO|SK|IA|ID|MB|AB|TN|WI|IN|ND|NE|OH|MI|MN|UT|MT|AL|WA|KS|ON|KY|FL|SD|OR|PA|CA|OK|TX|CO|AR|QC|PQ|CT|GA|NJ|NC|BC|SC,0017000000yIUvv
EFFINGHAM EQUITY-ROBINSON,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-STRASBURG,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-TONTI,EFFINGHAM EQUITY,Customer,,0017000000yIUzn
EFFINGHAM EQUITY-WEST LIBERTY,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EFFINGHAM EQUITY-WINDSOR,EFFINGHAM EQUITY,Customer,"",0017000000yIUzn
EICKHOFF FERTILIZER-FOUNTAIN,EICKHOFF FERTILIZER,Customer,"",0017000001OO4HT
EL PASO-CLINT,INTERNATIONAL CHEMICAL COMPANY,Customer,,0017000000yIUxE
ELBOW LAKE-ELBOW LAKE,ELBOW LAKE COOP GRAIN,Customer,"",0017000000yIUWm
ELDON C-FAIRFAX,ELDON C STUTSMAN INC,Customer,"",0017000000yIUzi
ELDON C-HILLS,ELDON C STUTSMAN INC,Customer,"",0017000000yIUzi
ELDON C-NICOLLET,ELDON C STUTSMAN INC,Customer,,0017000000yIUzi
ELDON C-WELLMAN,ELDON C STUTSMAN INC,Customer,"",0017000000yIUzi
ELEVATION AGRONOMY-DILLON,ELEVATION AGRONOMY LLC,Customer,,0010g00001iV7lS
ELLSWORTH COOP-ELLSWORTH,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
ELLSWORTH COOP-HOLYROOD,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
ENTERGY LEWIS-WILLIS,PREMIER CHEMICALS SERVICES LLC,Customer,,0017000000yW3bK
ENVISION COOPERATIVE-MOHALL,ENVISION COOPERATIVE,Customer,,001700000130mqT
ENVISION COOPERATIVE-RUGBY,ENVISION COOPERATIVE,Customer,,001700000130mqT
EQUALIZER INC-WACO,EQUALIZER INC,Customer,,0017000000yIUzZ
ESTELLINE COMMUNITY-ESTELLINE,ESTELLINE COMMUNITY OIL,Customer,"",0014u00001txixx
EUROCHEM - NEW CO-OP (BLENCOE),EUROCHEM NORTH AMERICAN CORPORATION,Competitor,SD|NE|IA|MN,0017000000yIUzS
EUROCHEM - NEW CO-OP (BLENCOE),NEW COOPERATIVE INC,Customer,"",0017000000yIUtv
EVERETT RAILROAD-HOLLIDAYSBURG,HELENA AGRIENTERPRISES LLC,Customer,,0017000000yIUxo
EVERGREEN AG-TULELAKE,WILBURELLIS COMPANY,Customer,,0017000000yIUoL
EVERGREEN FS-ARROWSMITH,EVERGREEN FS INC,Customer,"",0017000000yIUzR
EVERGREEN FS-BELLFLOWER,EVERGREEN FS INC,Customer,"",0017000000yIUzR
EVERGREEN FS-SHIRLEY,EVERGREEN FS INC,Customer,"",0017000000yIUzR
EVERGRO COOPERATIVE-ORANGE,SOUTHERN STATES COOPERATIVE INC,Customer,,0017000000yIUqe
EVERGY INC-LA CYGNE,EVERGY METRO INC,Customer,,0017000001BeWQ9
EVERGY METRO-WESTON,EVERGY METRO INC,Customer,"",0017000001BeWQ9
EXELAND FEED-EXELAND,EXELAND FEED MILL,Customer,"",0017000000yIUXN
F J-ELY,F J KROB AND COMPANY,Customer,"",0010g00001eOK4N
F J-ROWLEY,F J KROB AND COMPANY,Customer,"",0010g00001eOK4N
F J-SOLON,F J KROB AND COMPANY,Customer,"",0010g00001eOK4N
F J-WALKER,F J KROB AND COMPANY,Customer,"",0010g00001eOK4N
FAIRFIELD NON-AYR,FAIRFIELD NON STOCK COOP FERTILIZER ASSOCIATION,Customer,"",0010g00001ewdOP
FAIRFIELD NON-BLUE HILL,FAIRFIELD NON STOCK COOP FERTILIZER ASSOCIATION,Customer,"",0010g00001ewdOP
FAIRFIELD NON-EDGAR,FAIRFIELD NON STOCK COOP FERTILIZER ASSOCIATION,Customer,,0010g00001ewdOP
FAIRFIELD NON-FAIRFIELD,FAIRFIELD NON STOCK COOP FERTILIZER ASSOCIATION,Customer,"",0010g00001ewdOP
FAIRFIELD NON-GLENVIL,FAIRFIELD NON STOCK COOP FERTILIZER ASSOCIATION,Customer,"",0010g00001ewdOP
FAIRMOUNT TERMINAL,KOCH FERTILIZER LLC,Koch,ND|MN|MT|SD,0017000000yIUvv
FALCON FERTILIZER-BYNUM,FALCON FERTILIZER INC,Customer,,0017000000yIUzN
FALCON FERTILIZER-MALONE,FALCON FERTILIZER INC,Customer,,0017000000yIUzN
FALLS FERTILIZER-IDAHO FALLS,FALLS FERTILIZER INC,Customer,,0017000000yW3wz
FALMOUTH FARM-GLENWOOD,GROWMARK INC,Customer,,0017000000yIUyR
FALOR FARM-DELTA,FALOR FARM CENTER INC,Customer,,0017000000yIUdN
FALOR FARM-GRAND RAPIDS,FALOR FARM CENTER INC,Customer,,0017000000yIUdN
FARM CHEMICALS-PARKTON,FARM CHEMICALS INC,Customer,,0017000000yIUzK
FARM SERVICE-ATLANTIC,USA FOR FARM SERVICE COOPERATIVE HARLAN IA,Customer,,0017000000yW3Y7
FARM SERVICE-DEFIANCE,FARM SERVICE COOP,Customer,"",0017000000yIUzJ
FARM SERVICE-DENISON,FARM SERVICE COOP,Customer,"",0017000000yIUzJ
FARM SERVICE-HARLAN,FARM SERVICE COOP,Customer,"",0017000000yIUzJ
FARM SERVICE-HINTON,FARM SERVICE COOP,Customer,"",0017000000yIUzJ
FARM SERVICE-IRWIN,FARM SERVICE COOP,Customer,"",0017000000yIUzJ
FARM SERVICE-MOORHEAD,USA FOR FARM SERVICE COOPERATIVE HARLAN IA,Customer,,0017000000yW3Y7
FARM SERVICE-PORTSMOUTH,FARM SERVICE COOP,Customer,"",0017000000yIUzJ
FARM SERVICE-SHELBY,FARM SERVICE COOP,Customer,"",0017000000yIUzJ
FARMERS AG-DEERFIELD,FARMERS AG GRAIN SUPPLY,Customer,"",0017000000yIUm9
FARMERS AG-GIFFORD IL,FARMERS AG SERVICE INC,Customer,"",0017000000yIQ4u
FARMERS AG-GIFFORD IL,HARBRAND INC,Customer,,0017000000yIUxv
FARMERS AG-MADISON,FARMERS AG CENTER LLC,Customer,"",0017000000yIVuZ
FARMERS AG-NEMAHA,FARMERS AG GRAIN SUPPLY,Customer,"",0017000000yIUm9
FARMERS AG-ROYAL,FARMERS AG SERVICE INC,Customer,"",0017000000yIQ4u
FARMERS AG-ROYAL,HARBRAND INC,Customer,"",0017000000yIUxv
FARMERS AG-ROYAL,THE ANDERSONS INC,Customer,"",0017000000yIUq2
FARMERS AG-VERDON,FARMERS AG GRAIN SUPPLY,Customer,"",0017000000yIUm9
FARMERS ALLIANCE-CORSICA,FARMERS ALLIANCE,Customer,"",0017000000yIUVl
FARMERS COOP-BURNS FLAT,INTERNATIONAL CHEMICAL COMPANY,Customer,,0017000000yIUxE
FARMERS COOP-CARNEGIE,FARMERS COOP MILL ELEVATOR ASSC INC CARNEGIE OK,Customer,,0017000000yIUzE
FARMERS COOP-FORT COBB,FARMERS COOP MILL ELEVATOR ASSC INC CARNEGIE OK,Customer,,0017000000yIUzE
FARMERS COOP-IRETON,FARMERS COOP SOCIETY SIOUX CENTER IA,Customer,,0017000000yIUzD
FARMERS COOP-LINDSAY,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
FARMERS COOP-MELVIN,FARMERS COOP SOCIETY SIOUX CENTER IA,Customer,"",0017000000yIUzD
FARMERS COOP-MOUNTAIN VIEW,FARMERS COOP MILL ELEVATOR ASSC INC CARNEGIE OK,Customer,,0017000000yIUzE
FARMERS COOP-RADCLIFFE,FARMERS COOP ELEVATOR CO RADCLIFFE IA,Customer,,0017000000yW3wu
FARMERS COOP-SIOUX CENTER,FARMERS COOP SOCIETY SIOUX CENTER IA,Customer,,0017000000yIUzD
FARMERS COOP-THIEF RIVER FALLS,THORAG LLC,Customer,,0017000000yJDJ2
FARMERS COOPERATIVE-ARCADIA,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
FARMERS COOPERATIVE-BLUE SPRINGS,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-BOYDEN IA,FARMERS COOPERATIVE SOCIETY,Customer,"",0010g00001eOJq0
FARMERS COOPERATIVE-BURCHARD,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-BURRTON,FARMERS COOPERATIVE ELEVATOR COMPANY HALSTEAD,Customer,,0017000000yW3wo
FARMERS COOPERATIVE-CLARA CITY,FARMERS COOPERATIVE OIL CO CLARA CITY MN,Customer,"",0010g00001ZJ22p
FARMERS COOPERATIVE-CLINTON,FARMERS COOPERATIVE OF WESTERN OKLAHOMA,Customer,,0017000000yIV0P
FARMERS COOPERATIVE-DAYKIN,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-DORCHESTER NE,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-DORCHESTER NE,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
FARMERS COOPERATIVE-ECHO,FARMERS COOPERATIVE OIL COMPANY OF ECHO,Customer,"",0017000000yIUmF
FARMERS COOPERATIVE-EMMET,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-EWING,FARMERS COOPERATIVE ELEVATOR COMPANY ARCADIA IA,Customer,"",0017000000yIQ51
FARMERS COOPERATIVE-EXETER,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-FAIRBURY,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
FARMERS COOPERATIVE-FILLEY,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-FOREST CITY,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-FRANKFORT,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
FARMERS COOPERATIVE-GORDON NE,FARMERS COOPERATIVE ELEVATOR COMPANY ARCADIA IA,Customer,"",0017000000yIQ51
FARMERS COOPERATIVE-GORDON NE,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
FARMERS COOPERATIVE-GRETNA,FARMERS UNION COOPERATIVE ASSOCIATION GRETNA NE,Customer,,0017000000yIUyx
FARMERS COOPERATIVE-HALLAM,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-HALSTEAD,FARMERS COOPERATIVE ELEVATOR COMPANY HALSTEAD,Customer,,0017000000yW3wo
FARMERS COOPERATIVE-HEMINGFORD NE,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-HEMINGFORD NE,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
FARMERS COOPERATIVE-HERKIMER,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
FARMERS COOPERATIVE-IRETON,FARMERS COOPERATIVE SOCIETY,Customer,"",0010g00001eOJq0
FARMERS COOPERATIVE-JANSEN NE,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-JANSEN NE,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
FARMERS COOPERATIVE-KIESTER,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-KIRON,WINFIELD SOLUTIONS LLC,Customer,,0017000000yIUl7
FARMERS COOPERATIVE-LINDSAY,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-LITTLE ROCK,FARMERS COOPERATIVE SOCIETY,Customer,"",0010g00001eOJq0
FARMERS COOPERATIVE-MC COOL JUNCTION,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-MILFORD,FARMERS COOPERATIVE ASSOCIATION,Customer,"",0017000000yIV6T
FARMERS COOPERATIVE-MILROY,FARMERS COOPERATIVE ASSOCIATION MILROY MN,Customer,"",0017000000yIUVk
