locationName,occupantPartyName,occupantId,logisticsProductGroupName
HYDRITE CHEMICAL (COTTAGE GROVE),Hydrite Chemical Co,77c9bd59-a6f4-44f4-95af-33922219dc57,UAN
HYDRITE WATERLOO,Hydrite Chemical Co,2b756554-9a76-48bf-881e-6d3cdde1f048,UAN
J R-SAINT ANTHONY,J R Simplot Company,a843bb61-f718-4fbd-bc34-d3b30b977cac,UAN
J R-SHELLEY,Simplot AB Retail Inc dba Simplot Grower Solutions,455a799c-93cd-4c59-b821-a30180f9941a,UAN
KEENE CARRIERS-GLADE SPRING,GROWMARK INC,7367a447-8f0a-48f1-b083-49f9ec1cfd03,UAN
KEM KREST-FOWLERVILLE,Musket Corporation,f5b8c308-e167-458b-b4f6-8aa50bb1a509,UAN
KEYSTONE COOPERATIVE-BAINBRIDGE,"Co-Alliance Cooperative, Inc",112c0394-567d-4bb5-aa97-bfd836a42fe0,UAN
KEYSTONE COOPERATIVE-DANVILLE,Co-Alliance LLP,2fb49497-0993-448a-b8e2-d8819198cf47,UAN
KEYSTONE COOPERATIVE-FOUNTAINTOWN,"Co-Alliance Cooperative, Inc",e58caef4-e254-43fc-b6f4-3967c6e4e85b,UAN
KEYSTONE COOPERATIVE-MENTONE,CHS Inc,9bbfaee5-1fbc-41c0-8376-6d0371cebb4d,UAN
KEYSTONE COOPERATIVE-PARKER,"Co-Alliance Cooperative, Inc",04f33d4b-f868-4d07-9f79-3712423045ce,UAN
KEYSTONE COOPERATIVE-UNION MILLS,"Co-Alliance Cooperative, Inc",6494c725-d6e3-4bd7-aeb8-f7430052823d,UAN
KEYSTONE COOPERATIVE-VINCENNES,Ceres Solutions Cooperative Inc,e050624e-d8ca-4a02-ac5d-fb0ffe5a2457,UAN
KF-CRAWFORDSVILLE,Koch Fertilizer LLC,cab25b07-5fa6-47ad-a35a-43d1fb38bcbc,UAN
KUGLER OIL-STERLING,Kugler Oil Company,46c66e1b-63d3-4bbb-b323-f13e8c2b17dc,UAN
KUGLER OIL-ULYSSES,Kugler Oil Company,4946f543-6850-4e35-a811-61b58887bdaa,UAN
LANDMARK SERVICES-EVANSVILLE,Landmark Services Cooperative dba ALCIVIA,c089d045-0eda-4fd7-91fb-89142626cdac,UAN
LEGACY FARMERS-CUSTAR,GROWMARK INC,80bc3d34-7fc5-46c6-9986-ec866f547577,UAN
LEGACY FARMERS-MC COMB,GROWMARK INC,563a91eb-7135-490d-8d45-96faf433a2fa,UAN
LIQUID PRODUCTS-COHOCTON,Carolina Eastern Inc,1a4d044d-08d6-4635-a60d-42f707c4877c,UAN
LIQUID PRODUCTS-WATERLOO,Carolina Eastern Inc,247d4e53-468d-43c1-bb74-f53231dd2877,UAN
LUCKEY FARMERS-GRAYTOWN,GROWMARK INC,8055644e-70bc-4da3-9775-f843a772a6f1,UAN
MACROSOURCE KENTLAND,MACROSOURCE LLC,73c1a575-d1c2-45b2-a267-c1a0d8155dc6,UAN
MACROSOURCE YODER IN,MACROSOURCE LLC,0051c6a8-4a29-4548-a99f-4b36f072b0af,UAN
MEHERRIN AGRICULTURAL-COOLIDGE,Meherrin Fertilizer Inc,04341f4b-deb9-4e91-9e9b-e4aee67ad01e,UAN
MEHERRIN FERTILIZER-BAINBRIDGE,Meherrin Fertilizer Inc,152b3f1e-b77c-435b-96ec-41e76cfe2a85,UAN
MEHERRIN FERTILIZER-FOUR OAKS,Meherrin Fertilizer Inc,61a1eb2f-db5a-4945-9382-9c7e8f5e2f9c,UAN
MERCER LANDMARK-PAYNE,Mercer Landmark Inc,e06c4467-43ce-4665-8323-6877ea53f6ba,UAN
MID STATES-BALTIMORE,Brenntag Global Marketing LLC,95df91e6-fcc5-4c07-bca0-88aeaafafc63,UAN
MIDDLETON MI,Koch Fertilizer LLC,19295260-77a1-4cf3-8927-78a1aed55080,UAN
MIDWEST PMS-FORT MORGAN,Agra Holdings LLC,6dc50aa7-4775-4dbc-90cc-3f82939a78f6,UAN
MIDWEST TERMINALS (TOLEDO),Webb Chemical Services Corp,4793184b-241d-4891-a9a1-28162b98b324,UAN
MIDWOOD INC-CYGNET,GROWMARK INC,3e05ba3f-4706-4787-a1c4-a2a5fcf297ab,UAN
MORRAL COMPANIES-MORRAL,Morral Companies LLC dba Morral Companies,e67ca0e4-0155-4ace-89b6-0029255e56e4,UAN
MOUNTAIN VIEW-DUTTON,Mountain View Coop,e19fd688-f438-4817-b7ab-8817a2fa305a,UAN
N-7 SCRANTON,N-7 LLC,4276356a-38a7-47aa-97af-1caffbe7809b,UAN
NEW COOPERATIVE-OSCEOLA,NEW Cooperative Inc,ec68cc8d-0996-4c7f-8097-cdcf24bcd179,UAN
NEW COOPERATIVE-RED OAK,NEW Cooperative Inc,c9f8bbf7-a908-4f2c-9a12-246aab47c2a8,UAN
NORTH VALLEY AG SERVICES - CHICO,Koch Fertilizer LLC,e93fb097-9cf5-4423-af16-b2ae2c0ae236,UAN
"NORTHEAST AGRICULTURAL LYNDONVILLE, VT",null,1d3e7e6e-d5b7-4f58-b5f3-d3a7f9c57dd0,UAN
NUTRIEN AG-ALPAUGH,Nutrien Ag Solutions Inc,e7180b33-dae2-4889-88f3-962b9d292b47,UAN
NUTRIEN AG-AVON,Nutrien Ag Solutions Inc,4d72ce32-8e4d-461b-8d8d-85efbed0bda7,UAN
NUTRIEN AG-BRECKENRIDGE,Nutrien Ag Solutions Inc,6f707523-8525-4897-8a69-810ffca8bc99,UAN
NUTRIEN AG-CACTUS,Nutrien Ag Solutions Inc,bdd1b443-6be1-4fc4-af7e-50356f362539,UAN
NUTRIEN AG-COOLIDGE,Nutrien Ag Solutions Inc,09ff5d89-1669-4436-ab86-864f5904335a,UAN
NUTRIEN AG-KINGSTREE,Nutrien Ag Solutions Inc,3ec0b4c6-d26e-4973-a32f-8d65adb6bc5d,UAN
NUTRIEN AG-ORANGEBURG,Nutrien Ag Solutions Inc,c175d38c-7ac3-4526-be6c-3deb3f5531cf,UAN
NUTRIEN AG-OWENSBORO,Nutrien Ag Solutions Inc,114af1b2-0cd3-4390-a3cf-9201792bda9d,UAN
NUTRIEN AG-SAGINAW,Nutrien Ag Solutions Inc,1af2224c-8da8-4cfb-bf80-5606d01ff91c,UAN
NUTRIEN AG-SEAGRAVES,Nutrien Ag Solutions Inc,e465e3d7-8ebc-45e4-a59e-d09b844e617c,UAN
PAWNEE COUNTY COOP-LARNED,Koch Fertilizer LLC,bf68b0f4-f321-484a-b9cd-e69b16c73f27,UAN
PMC CORPORATION-MEMPHIS,PMC Biogenix Inc,d0126cb4-4460-4933-9eb7-1fc5a3574ccd,UAN
PRATUM COOP-HARRISBURG,Pratum Co-op,029d1dd4-445b-48b7-85fe-4c26a17513c3,UAN
PRATUM COOP-MADRAS,Pratum Co-op,4a77b049-b6d7-4883-ae72-405a9c088478,UAN
REISDORF BROTHERS-NORTH JAVA,Carolina Eastern Inc,33cff330-767f-4fdc-9134-729f939d7f78,UAN
RIVER COUNTRY-RANDOLPH,River Country Co-op,d1caab71-b6b7-4538-92a0-2bcfa961911b,UAN
SCOTT COOPERATIVE-SCOTT CITY,Winfield Solutions LLC,3fe05628-d678-497d-b381-d78532bc1ec2,UAN
SIMPLOT POCATELLO,Simplot AB Retail Inc dba Simplot Grower Solutions,0b8b6862-8d5e-475f-b056-a857bed5a9ff,UAN
SNYDERS CROP-MOUNT JOY,Meherrin Fertilizer Inc,71cb198e-76fa-4dec-8c47-7599ce71fc28,UAN
SOUTH CHARLESTON-SOUTH CHARLESTON,Sunrise Cooperative Inc,16f528a5-c4a9-4d72-9aff-4299b7fb02d1,UAN
SOUTHERN STATES-DARLINGTON,Southern States Cooperative Inc,3f673482-b8ad-46ee-a789-0a3c32a161c4,UAN
STRASBURG RAILROAD-RONKS,Meherrin Fertilizer Inc,bd7e2d4b-8086-4e96-aaa8-727831d9c901,UAN
SUNRISE COOPERATIVE-UNIOPOLIS,Sunrise Cooperative Inc,c7462aa4-1c33-4ccd-86fa-e661f7d2cbc0,UAN
THE ARTHUR-AYR,Agresource,966f1d23-ca93-444e-8a62-9748ca7552c1,UAN
