effectiveDate,expirationDate,lastUpdateDate,Country,productGroup,fsc
12/1/2023,12/15/2023,2/15/2024 16:57,US,DEF,0.305
12/16/2023,12/31/2023,2/15/2024 16:57,US,DRY,0.285
12/16/2023,12/31/2023,2/15/2024 16:57,US,LIQUID,0.285
12/16/2023,12/31/2023,2/15/2024 16:57,US,AMMONIA,0.285
12/16/2023,12/31/2023,2/15/2024 16:57,US,DEF,0.285
1/1/2024,1/15/2024,2/15/2024 16:57,US,DRY,0.27
1/1/2024,1/15/2024,2/15/2024 16:57,US,LIQUID,0.27
1/1/2024,1/15/2024,2/15/2024 16:57,US,AMMONIA,0.27
1/1/2024,1/15/2024,2/15/2024 16:57,US,DEF,0.27
1/16/2024,1/31/2024,2/15/2024 16:57,US,DRY,0.26
1/16/2024,1/31/2024,2/15/2024 16:57,US,LIQUID,0.26
1/16/2024,1/31/2024,2/15/2024 16:57,US,AMMONIA,0.26
1/16/2024,1/31/2024,2/15/2024 16:57,US,DEF,0.26
2/1/2024,2/15/2024,2/15/2024 16:57,US,DRY,0.26
2/1/2024,2/15/2024,2/15/2024 16:57,US,LIQUID,0.26
2/1/2024,2/15/2024,2/15/2024 16:57,US,AMMONIA,0.26
2/1/2024,2/15/2024,2/15/2024 16:57,US,DEF,0.26
2/16/2024,2/29/2024,2/15/2024 16:57,US,DRY,0.275
2/16/2024,2/29/2024,2/15/2024 16:57,US,LIQUID,0.275
2/16/2024,2/29/2024,2/15/2024 16:57,US,AMMONIA,0.275
2/16/2024,2/29/2024,2/15/2024 16:57,US,DEF,0.275
