effectiveDate,expirationDate,lastUpdateDate,Country,productGroup,fsc
2023-05-01,2023-05-15,2024-10-01 08:26:10,US,AMMONIA,0.290
2023-05-01,2023-05-15,2024-10-01 08:26:10,US,DEF,0.290
2023-05-16,2023-05-31,2024-10-01 08:26:10,US,DRY,0.275
2023-05-16,2023-05-31,2024-10-01 08:26:10,US,LIQUID,0.275
2023-05-16,2023-05-31,2024-10-01 08:26:10,US,AMMONIA,0.275
2023-05-16,2023-05-31,2024-10-01 08:26:10,US,DEF,0.275
2023-06-01,2023-06-15,2024-10-01 08:26:10,US,DRY,0.265
2023-06-01,2023-06-15,2024-10-01 08:26:10,US,LIQUID,0.265
2023-06-01,2023-06-15,2024-10-01 08:26:10,US,AMMONIA,0.265
2023-06-01,2023-06-15,2024-10-01 08:26:10,US,DEF,0.265
2023-06-16,2023-06-30,2024-10-01 08:26:10,US,DRY,0.260
2023-06-16,2023-06-30,2024-10-01 08:26:10,US,LIQUID,0.260
2023-06-16,2023-06-30,2024-10-01 08:26:10,US,AMMONIA,0.260
2023-06-16,2023-06-30,2024-10-01 08:26:10,US,DEF,0.260
2023-07-01,2023-07-15,2024-10-01 08:26:10,US,DRY,0.260
2023-07-01,2023-07-15,2024-10-01 08:26:10,US,LIQUID,0.260
2023-07-01,2023-07-15,2024-10-01 08:26:10,US,AMMONIA,0.260
2023-07-01,2023-07-15,2024-10-01 08:26:10,US,DEF,0.260
2023-07-16,2023-07-31,2024-10-01 08:26:10,US,DRY,0.260
2023-07-16,2023-07-31,2024-10-01 08:26:10,US,LIQUID,0.260
2023-07-16,2023-07-31,2024-10-01 08:26:10,US,AMMONIA,0.260
2023-07-16,2023-07-31,2024-10-01 08:26:10,US,DEF,0.260
2023-08-01,2023-08-15,2024-10-01 08:26:10,US,DRY,0.275
2023-08-01,2023-08-15,2024-10-01 08:26:10,US,LIQUID,0.275
2023-08-01,2023-08-15,2024-10-01 08:26:10,US,AMMONIA,0.275
2023-08-01,2023-08-15,2024-10-01 08:26:10,US,DEF,0.275
2023-08-16,2023-08-31,2024-10-01 08:26:10,US,DRY,0.315
2023-08-16,2023-08-31,2024-10-01 08:26:10,US,LIQUID,0.315
2023-08-16,2023-08-31,2024-10-01 08:26:10,US,AMMONIA,0.315
2023-08-16,2023-08-31,2024-10-01 08:26:10,US,DEF,0.315
2023-09-01,2023-09-15,2024-10-01 08:26:10,US,DRY,0.320
2023-09-01,2023-09-15,2024-10-01 08:26:10,US,LIQUID,0.320
2023-09-01,2023-09-15,2024-10-01 08:26:10,US,AMMONIA,0.320
2023-09-01,2023-09-15,2024-10-01 08:26:10,US,DEF,0.320
2023-09-16,2023-09-30,2024-10-01 08:26:10,US,DRY,0.330
2023-09-16,2023-09-30,2024-10-01 08:26:10,US,LIQUID,0.330
2023-09-16,2023-09-30,2024-10-01 08:26:10,US,AMMONIA,0.330
2023-09-16,2023-09-30,2024-10-01 08:26:10,US,DEF,0.330
2023-10-01,2023-10-15,2024-10-01 08:26:10,US,DRY,0.335
2023-10-01,2023-10-15,2024-10-01 08:26:10,US,LIQUID,0.335
2023-10-01,2023-10-15,2024-10-01 08:26:10,US,AMMONIA,0.335
2023-10-01,2023-10-15,2024-10-01 08:26:10,US,DEF,0.335
2023-10-16,2023-10-31,2024-10-01 08:26:10,US,DRY,0.330
2023-10-16,2023-10-31,2024-10-01 08:26:10,US,LIQUID,0.330
2023-10-16,2023-10-31,2024-10-01 08:26:10,US,AMMONIA,0.330
2023-10-16,2023-10-31,2024-10-01 08:26:10,US,DEF,0.330
2023-11-01,2023-11-15,2024-10-01 08:26:10,US,DRY,0.330
2023-11-01,2023-11-15,2024-10-01 08:26:10,US,LIQUID,0.330
2023-11-01,2023-11-15,2024-10-01 08:26:10,US,AMMONIA,0.330
2023-11-01,2023-11-15,2024-10-01 08:26:10,US,DEF,0.330
2023-11-16,2023-11-30,2024-10-01 08:26:10,US,DRY,0.320
2023-11-16,2023-11-30,2024-10-01 08:26:10,US,LIQUID,0.320
2023-11-16,2023-11-30,2024-10-01 08:26:10,US,AMMONIA,0.320
2023-11-16,2023-11-30,2024-10-01 08:26:10,US,DEF,0.320
2023-12-01,2023-12-15,2024-10-01 08:26:10,US,DRY,0.305
2023-12-01,2023-12-15,2024-10-01 08:26:10,US,LIQUID,0.305
2023-12-01,2023-12-15,2024-10-01 08:26:10,US,AMMONIA,0.305
2023-12-01,2023-12-15,2024-10-01 08:26:10,US,DEF,0.305
2023-12-16,2023-12-31,2024-10-01 08:26:10,US,DRY,0.285
2023-12-16,2023-12-31,2024-10-01 08:26:10,US,LIQUID,0.285
2023-12-16,2023-12-31,2024-10-01 08:26:10,US,AMMONIA,0.285
2023-12-16,2023-12-31,2024-10-01 08:26:10,US,DEF,0.285
2024-01-01,2024-01-15,2024-10-01 08:26:10,US,DRY,0.270
2024-01-01,2024-01-15,2024-10-01 08:26:10,US,LIQUID,0.270
2024-01-01,2024-01-15,2024-10-01 08:26:10,US,AMMONIA,0.270
2024-01-01,2024-01-15,2024-10-01 08:26:10,US,DEF,0.270
2024-01-16,2024-01-31,2024-10-01 08:26:10,US,DRY,0.260
2024-01-16,2024-01-31,2024-10-01 08:26:10,US,LIQUID,0.260
2024-01-16,2024-01-31,2024-10-01 08:26:10,US,AMMONIA,0.260
2024-01-16,2024-01-31,2024-10-01 08:26:10,US,DEF,0.260
2024-02-01,2024-02-15,2024-10-01 08:26:10,US,DRY,0.260
2024-02-01,2024-02-15,2024-10-01 08:26:10,US,LIQUID,0.260
2024-02-01,2024-02-15,2024-10-01 08:26:10,US,AMMONIA,0.260
2024-02-01,2024-02-15,2024-10-01 08:26:10,US,DEF,0.260
2024-02-16,2024-02-29,2024-10-01 08:26:10,US,DRY,0.275
2024-02-16,2024-02-29,2024-10-01 08:26:10,US,LIQUID,0.275
2024-02-16,2024-02-29,2024-10-01 08:26:10,US,AMMONIA,0.275
2024-02-16,2024-02-29,2024-10-01 08:26:10,US,DEF,0.275
2024-03-01,2024-03-15,2024-10-01 08:26:10,US,DRY,0.285
2024-03-01,2024-03-15,2024-10-01 08:26:10,US,LIQUID,0.285
2024-03-01,2024-03-15,2024-10-01 08:26:10,US,AMMONIA,0.285
2024-03-01,2024-03-15,2024-10-01 08:26:10,US,DEF,0.285
2024-03-16,2024-03-31,2024-10-01 08:26:10,US,DRY,0.280
2024-03-16,2024-03-31,2024-10-01 08:26:10,US,LIQUID,0.280
2024-03-16,2024-03-31,2024-10-01 08:26:10,US,AMMONIA,0.280
2024-03-16,2024-03-31,2024-10-01 08:26:10,US,DEF,0.280
2024-04-01,2024-04-15,2024-10-01 08:26:10,US,DRY,0.285
2024-04-01,2024-04-15,2024-10-01 08:26:10,US,LIQUID,0.285
2024-04-01,2024-04-15,2024-10-01 08:26:10,US,AMMONIA,0.285
