rateId,document,version,effectiveDate,expirationDate,lastUpdateDate,shippingStartDate,shippingEndDate,productGroup,originGroup,originId,destinationGroup,destinationId,rateFactorType,rate,currency,rateUom,loadQuantity,ratePerUom,mode,distanceUom,distanceLower,distanceUpper,originCountry,originLabel,destinationCountry,destinationLabel
NH3_GUIDANCE|#|TX|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|120|#|130,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,TX,FALSE,US,UNIT,31.37,USD,ST,20,31.37,TRUCK,MI,120,130,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|SD|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|390|#|400,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,SD,FALSE,US,UNIT,55.06,USD,ST,25,55.06,TRUCK,MI,390,400,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|SD|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|300|#|310,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,SD,FALSE,US,UNIT,42.15,USD,ST,25,42.15,TRUCK,MI,300,310,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|ND|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|550|#|560,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,ND,FALSE,US,UNIT,84.06,USD,ST,25,84.06,TRUCK,MI,550,560,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|IA|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|770|#|780,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,IA,FALSE,US,UNIT,185.39,USD,ST,20,185.39,TRUCK,MI,770,780,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|IL|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|10|#|20,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,IL,FALSE,US,UNIT,5.51,USD,ST,25,5.51,TRUCK,MI,10,20,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|KS|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|490|#|500,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,KS,FALSE,US,UNIT,68.89,USD,ST,25,68.89,TRUCK,MI,490,500,US,StateOrProvince,US,Country
LIQ_GUIDANCE|#|SD|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|20|#|30,LIQ_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,LIQUID,TRUE,SD,FALSE,US,UNIT,6.81,USD,ST,25,6.81,TRUCK,MI,20,30,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|IN|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|970|#|980,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,IN,FALSE,US,UNIT,238.04,USD,ST,20,238.04,TRUCK,MI,970,980,US,StateOrProvince,US,Country
NH3_GUIDANCE|#|IA|#|US|#|2024-03-31|#|UNIT|#|USD|#|ST|#|MI|#|790|#|800,NH3_GUIDANCE,1,2024-02-16,,2024-02-16 11:06:35,2024-01-01,2024-03-31,AMMONIA,TRUE,IA,FALSE,US,UNIT,190.22,USD,ST,20,190.22,TRUCK,MI,790,800,US,StateOrProvince,US,Country
