origin_city_state,dest_city_state,comm,orig_city,orig_state,dest_city,dest_state
"BRANDON, MB","ANSONIA, OH",UAN,BRANDON,MB,ANSONIA,OH
"BRANDON, MB","ARCHBOLD, OH",UAN,BRANDON,MB,ARCHBOLD,OH
"BRANDON, MB","ARENA, WI",UAN,BRANDON,MB,ARENA,WI
"BRANDON, MB","ARLINGTON, SD",UAN,BRANDON,MB,ARLINGTON,SD
"BRANDON, MB","ASHLEY HUDSON, IN",UAN,BRANDON,MB,ASHLEY HUDSON,IN
"BRANDON, MB","ASHLEY, MI",UAN,BRANDON,MB,ASHLEY,MI
"BRANDON, MB","ASHTON, ID",UAN,BRANDON,MB,ASHTON,ID
"BRANDON, MB","ATALISSA, IA",UAN,BRANDON,MB,ATALISSA,IA
"BRANDON, MB","ATKINSON, IL",UAN,BRANDON,MB,ATKINSON,IL
"BRANDON, MB","ATLANTIC, IA",UAN,BRANDON,MB,ATLANTIC,IA
"BRANDON, MB","ATTICA, OH",UAN,BRANDON,MB,ATTICA,OH
"BRANDON, MB","AUBURNDALE, WI",UAN,BRANDON,MB,AUBURNDALE,WI
"BRANDON, MB","AVALON, WI",UAN,BRANDON,MB,AVALON,WI
"BRANDON, MB","AYR, ND",UAN,BRANDON,MB,AYR,ND
"BRANDON, MB","BAINBRIDGE, IN",UAN,BRANDON,MB,BAINBRIDGE,IN
"BRANDON, MB","BANCROFT, ID",ATS,BRANDON,MB,BANCROFT,ID
"BRANDON, MB","BANCROFT, ID",UAN,BRANDON,MB,BANCROFT,ID
"BRANDON, MB","BARRETT, MN",UAN,BRANDON,MB,BARRETT,MN
"BRANDON, MB","BASIN, WY",UAN,BRANDON,MB,BASIN,WY
"BRANDON, MB","BAY CITY, MI",UAN,BRANDON,MB,BAY CITY,MI
"BRANDON, MB","BEACH, ND",UAN,BRANDON,MB,BEACH,ND
"BRANDON, MB","BELDEN, IL",UAN,BRANDON,MB,BELDEN,IL
"BRANDON, MB","BELGRADE, MN",UAN,BRANDON,MB,BELGRADE,MN
"BRANDON, MB","BELGRADE, MT",UAN,BRANDON,MB,BELGRADE,MT
"BRANDON, MB","BERNARDSTON, MA",UAN,BRANDON,MB,BERNARDSTON,MA
"BRANDON, MB","BIGGAM, WA",UAN,BRANDON,MB,BIGGAM,WA
"BRANDON, MB","BISHOPVILLE, SC",UAN,BRANDON,MB,BISHOPVILLE,SC
"BRANDON, MB","BLACK CREEK, WI",UAN,BRANDON,MB,BLACK CREEK,WI
"BRANDON, MB","BLACKFOOT, ID",UAN,BRANDON,MB,BLACKFOOT,ID
"BRANDON, MB","BLOOMSBURG, PA",UAN,BRANDON,MB,BLOOMSBURG,PA
"BRANDON, MB","BONNEVILLE, WY",UAN,BRANDON,MB,BONNEVILLE,WY
"BRANDON, MB","BOTKINS, OH",UAN,BRANDON,MB,BOTKINS,OH
"BRANDON, MB","BOURBON, IN",UAN,BRANDON,MB,BOURBON,IN
"BRANDON, MB","BOWLING GREEN, OH",UAN,BRANDON,MB,BOWLING GREEN,OH
"BRANDON, MB","BOWMAN, ND",UAN,BRANDON,MB,BOWMAN,ND
"BRANDON, MB","BRADNER, OH",UAN,BRANDON,MB,BRADNER,OH
"BRANDON, MB","BRANDON, VT",UAN,BRANDON,MB,BRANDON,VT
"BRANDON, MB","BREMS, IN",UAN,BRANDON,MB,BREMS,IN
"BRANDON, MB","BRIDGEVILLE (DCR), DE",UAN,BRANDON,MB,BRIDGEVILLE (DCR),DE
"BRANDON, MB","BROCKVILLE, ON",UAN,BRANDON,MB,BROCKVILLE,ON
"BRANDON, MB","BROOKSTON, IN",UAN,BRANDON,MB,BROOKSTON,IN
"BRANDON, MB","BROOTEN, MN",UAN,BRANDON,MB,BROOTEN,MN
"BRANDON, MB","BROWNTON, MN",UAN,BRANDON,MB,BROWNTON,MN
"BRANDON, MB","BRUCE, WA",UAN,BRANDON,MB,BRUCE,WA
"BRANDON, MB","BRUNSWICK, MO",UAN,BRANDON,MB,BRUNSWICK,MO
"BRANDON, MB","BURLEY, ID",UAN,BRANDON,MB,BURLEY,ID
"BRANDON, MB","BURLINGTON, WA",UAN,BRANDON,MB,BURLINGTON,WA
"BRANDON, MB","BURNETTSVILLE, IN",UAN,BRANDON,MB,BURNETTSVILLE,IN
"BRANDON, MB","CAIRO, GA",UAN,BRANDON,MB,CAIRO,GA
"BRANDON, MB","CALDWELL, ID",UAN,BRANDON,MB,CALDWELL,ID
"BRANDON, MB","CAMDEN, IN",UAN,BRANDON,MB,CAMDEN,IN
"BRANDON, MB","CANTON, NY",UAN,BRANDON,MB,CANTON,NY
"BRANDON, MB","CARRINGTON, ND",UAN,BRANDON,MB,CARRINGTON,ND
"BRANDON, MB","CASEY, IL",UAN,BRANDON,MB,CASEY,IL
"BRANDON, MB","CASSELTON, ND",UAN,BRANDON,MB,CASSELTON,ND
"BRANDON, MB","CAVAN, ON",UAN,BRANDON,MB,CAVAN,ON
"BRANDON, MB","CEDAR CITY, UT",UAN,BRANDON,MB,CEDAR CITY,UT
"BRANDON, MB","CENTRAL FERRY, WA",ATS,BRANDON,MB,CENTRAL FERRY,WA
"BRANDON, MB","CENTRAL FERRY, WA",UAN,BRANDON,MB,CENTRAL FERRY,WA
"BRANDON, MB","CHAMPAIGN, IL",UAN,BRANDON,MB,CHAMPAIGN,IL
"BRANDON, MB","CHENEY, WA",ATS,BRANDON,MB,CHENEY,WA
"BRANDON, MB","CHENEY, WA",UAN,BRANDON,MB,CHENEY,WA
"BRANDON, MB","CHESTERVILLE, ON",UAN,BRANDON,MB,CHESTERVILLE,ON
"BRANDON, MB","CHICAGO, IL",AMMONIA,BRANDON,MB,CHICAGO,IL
"BRANDON, MB","CHICAGO, IL",UAN,BRANDON,MB,CHICAGO,IL
"BRANDON, MB","CHICO, CA",UAN,BRANDON,MB,CHICO,CA
"BRANDON, MB","CHILLICOTHE, OH",UAN,BRANDON,MB,CHILLICOTHE,OH
"BRANDON, MB","CHILTON, WI",AMMONIA,BRANDON,MB,CHILTON,WI
"BRANDON, MB","CHILTON, WI",UAN,BRANDON,MB,CHILTON,WI
"BRANDON, MB","CHIN, AB",UAN,BRANDON,MB,CHIN,AB
"BRANDON, MB","CINCINNATI, OH",UAN,BRANDON,MB,CINCINNATI,OH
"BRANDON, MB","CIRCLEVILLE, OH",UAN,BRANDON,MB,CIRCLEVILLE,OH
"BRANDON, MB","CLINTON, WI",UAN,BRANDON,MB,CLINTON,WI
"BRANDON, MB","COHOCTON, NY",UAN,BRANDON,MB,COHOCTON,NY
