carrier,effectiveDate,expirationDate,lastUpdateDate,updatedBy,fuelSurchargeRate,currency,productGroup
KCS,5/30/2024,6/30/2024,5/30/2024 8:44,Dirk Townsend,0.47,USD,ALL
LSRC,5/30/2024,6/30/2024,5/30/2024 8:44,Dirk Townsend,0.51,USD,ALL
NS,5/30/2024,6/30/2024,5/30/2024 8:44,Dirk Townsend,0.38,USD,ALL
TCWR,5/30/2024,6/30/2024,5/30/2024 8:44,Dirk Townsend,0.39,USD,ALL
UP,5/30/2024,6/30/2024,5/30/2024 8:44,Dirk Townsend,0.39,USD,ALL
WSOR,5/30/2024,6/30/2024,5/30/2024 8:44,Dirk Townsend,0.62,USD,ALL
BNSF,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0.15,USD,ALL
CN,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0.4795,CAD,ALL
CN,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0.396,USD,ALL
CPRS,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0.4241,CAD,ALL
CPRS,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0.31,USD,ALL
CSXT,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0,USD,DRY
CSXT,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0,USD,LIQUID
CSXT,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0,USD,AMMONIA
CSXT,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0,USD,DEF
CSXT,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0.47,USD,METHANOL
GWI,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0.58,USD,ALL
KCS,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0.43,USD,ALL
LSRC,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0.47,USD,ALL
NS,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0.33,USD,ALL
TCWR,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0.35,USD,ALL
UP,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0.35,USD,ALL
WSOR,7/1/2024,7/31/2024,9/12/2024 9:58,Dirk Townsend,0.54,USD,ALL
BNSF,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0.12,USD,ALL
CN,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0.4493,CAD,ALL
CN,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0.37,USD,ALL
CPRS,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0.4572,CAD,ALL
CPRS,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0.335,USD,ALL
CSXT,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0,USD,DRY
CSXT,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0,USD,LIQUID
CSXT,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0,USD,AMMONIA
CSXT,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0,USD,DEF
CSXT,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0.44,USD,METHANOL
GWI,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0.54,USD,ALL
KCS,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0.4,USD,ALL
LSRC,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0.44,USD,ALL
NS,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0.31,USD,ALL
TCWR,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0.33,USD,ALL
UP,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0.33,USD,ALL
WSOR,8/1/2024,8/30/2024,9/12/2024 9:58,Dirk Townsend,0.5,USD,ALL
BNSF,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0.15,USD,ALL
CN,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0.481,CAD,ALL
CN,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0.396,USD,ALL
CPRS,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0.4417,CAD,ALL
CPRS,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0.32,USD,ALL
CSXT,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0,USD,DRY
CSXT,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0,USD,LIQUID
CSXT,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0,USD,AMMONIA
CSXT,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0,USD,DEF
CSXT,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0.46,USD,METHANOL
GWI,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0.58,USD,ALL
KCS,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0.42,USD,ALL
LSRC,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0.46,USD,ALL
NS,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0.33,USD,ALL
TCWR,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0.35,USD,ALL
UP,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0.35,USD,ALL
WSOR,9/1/2024,9/30/2024,10/1/2024 7:58,Dirk Townsend,0.54,USD,ALL
