originLocation,destinationLocation,equipmentType,productType
"BRANDON, MB","ATLANTIC, IA",SINGLE,10-34-0
"BRANDON, MB","ATLANTIC, IA",SINGLE,ATS
"BRANDON, MB","ATLANTIC, IA",SINGLE,UAN
"BRANDON, MB","ATTICA, OH",SINGLE,ATS
"BRANDON, MB","ATTICA, OH",SINGLE,UAN
"BRANDON, MB","AUBURNDALE, WI",SINGLE,10-34-0
"BRANDON, MB","AUBURNDALE, WI",SINGLE,ATS
"BRANDON, MB","AUBURNDALE, WI",SINGLE,UAN
"BRANDON, MB","AVALON, WI",SINGLE,10-34-0
"BRANDON, MB","AVALON, WI",SINGLE,ATS
"BRANDON, MB","AVALON, WI",SINGLE,UAN
"BRANDON, MB","AYR, ND",SINGLE,UAN
"BRANDON, MB","BAINBRIDGE, IN",SINGLE,ATS
"BRANDON, MB","BAINBRIDGE, IN",SINGLE,UAN
"BRANDON, MB","BANCROFT, ID",SINGLE,ATS
"BRANDON, MB","BANCROFT, ID",SINGLE,UAN
"BRANDON, MB","BARRETT, MN",SINGLE,10-34-0
"BRANDON, MB","BARRETT, MN",SINGLE,ATS
"BRANDON, MB","BARRETT, MN",SINGLE,UAN
"BRANDON, MB","BASIN, WY",SINGLE,UAN
"BRANDON, MB","BAY CITY, MI",SINGLE,10-34-0
"BRANDON, MB","BAY CITY, MI",SINGLE,ATS
"BRANDON, MB","BAY CITY, MI",SINGLE,UAN
"BRANDON, MB","BEACH, ND",SINGLE,UAN
"BRANDON, MB","BELDEN, IL",SINGLE,10-34-0
"BRANDON, MB","BELDEN, IL",SINGLE,ATS
"BRANDON, MB","BELDEN, IL",SINGLE,UAN
"BRANDON, MB","BELGRADE, MN",SINGLE,10-34-0
"BRANDON, MB","BELGRADE, MN",SINGLE,ATS
"BRANDON, MB","BELGRADE, MN",SINGLE,UAN
"BRANDON, MB","BELGRADE, MT",SINGLE,UAN
"BRANDON, MB","BERNARDSTON, MA",SINGLE,ATS
"BRANDON, MB","BERNARDSTON, MA",SINGLE,UAN
"BRANDON, MB","BILLINGS, MT",SINGLE,UAN
"BRANDON, MB","BISHOPVILLE, SC",SINGLE,ATS
"BRANDON, MB","BISHOPVILLE, SC",SINGLE,UAN
"BRANDON, MB","BLACK CREEK, WI",SINGLE,10-34-0
"BRANDON, MB","BLACK CREEK, WI",SINGLE,ATS
"BRANDON, MB","BLACK CREEK, WI",SINGLE,UAN
"BRANDON, MB","BLACKFOOT, ID",SINGLE,UAN
"BRANDON, MB","BLOOMSBURG, PA",SINGLE,10-34-0
"BRANDON, MB","BLOOMSBURG, PA",SINGLE,ATS
"BRANDON, MB","BLOOMSBURG, PA",SINGLE,UAN
"BRANDON, MB","BONNEVILLE, WY",SINGLE,UAN
"BRANDON, MB","BOTKINS, OH",SINGLE,ATS
"BRANDON, MB","BOTKINS, OH",SINGLE,UAN
"BRANDON, MB","BOURBON, IN",SINGLE,10-34-0
"BRANDON, MB","BOURBON, IN",SINGLE,ATS
"BRANDON, MB","BOURBON, IN",SINGLE,UAN
"BRANDON, MB","BOWLING GREEN, OH",SINGLE,ATS
"BRANDON, MB","BOWLING GREEN, OH",SINGLE,UAN
"BRANDON, MB","BOWMAN, ND",SINGLE,UAN
"BRANDON, MB","BRADNER, OH",SINGLE,ATS
"BRANDON, MB","BRADNER, OH",SINGLE,UAN
"BRANDON, MB","BRANDON, VT",SINGLE,UAN
"BRANDON, MB","BREMS, IN",SINGLE,10-34-0
"BRANDON, MB","BREMS, IN",SINGLE,ATS
"BRANDON, MB","BREMS, IN",SINGLE,UAN
"BRANDON, MB","BRIDGEVILLE, DE",SINGLE,10-34-0
"BRANDON, MB","BRIDGEVILLE, DE",SINGLE,ATS
"BRANDON, MB","BRIDGEVILLE, DE",SINGLE,UAN
"BRANDON, MB","BROOKSTON, IN",SINGLE,ATS
"BRANDON, MB","BROOKSTON, IN",SINGLE,UAN
"BRANDON, MB","BROOTEN, MN",SINGLE,10-34-0
"BRANDON, MB","BROOTEN, MN",SINGLE,ATS
"BRANDON, MB","BROOTEN, MN",SINGLE,UAN
"BRANDON, MB","BROWNTON, MN",SINGLE,10-34-0
"BRANDON, MB","BROWNTON, MN",SINGLE,ATS
"BRANDON, MB","BROWNTON, MN",SINGLE,UAN
"BRANDON, MB","BRUCE, WA",SINGLE,UAN
"BRANDON, MB","BRUNSWICK, MO",SINGLE,10-34-0
"BRANDON, MB","BRUNSWICK, MO",SINGLE,ATS
"BRANDON, MB","BRUNSWICK, MO",SINGLE,UAN
"BRANDON, MB","BURLEY, ID",SINGLE,UAN
"BRANDON, MB","BURNETTSVILLE, IN",SINGLE,10-34-0
"BRANDON, MB","BURNETTSVILLE, IN",SINGLE,ATS
"BRANDON, MB","BURNETTSVILLE, IN",SINGLE,UAN
"BRANDON, MB","CAIRO, GA",SINGLE,ATS
"BRANDON, MB","CAIRO, GA",SINGLE,UAN
"BRANDON, MB","CALDWELL, ID",SINGLE,UAN
"BRANDON, MB","CAMDEN, IN",SINGLE,10-34-0
"BRANDON, MB","CAMDEN, IN",SINGLE,ATS
"BRANDON, MB","CAMDEN, IN",SINGLE,UAN
"BRANDON, MB","CANTON, NY",SINGLE,ATS
"BRANDON, MB","CANTON, NY",SINGLE,UAN
"BRANDON, MB","CARRINGTON, ND",SINGLE,10-34-0
"BRANDON, MB","CARRINGTON, ND",SINGLE,ATS
"BRANDON, MB","CARRINGTON, ND",SINGLE,UAN
"BRANDON, MB","CASEY, IL",SINGLE,ATS
"BRANDON, MB","CASEY, IL",SINGLE,UAN
"BRANDON, MB","CAVAN, ON",SINGLE,10-34-0
"BRANDON, MB","CAVAN, ON",SINGLE,ATS
"BRANDON, MB","CAVAN, ON",SINGLE,UAN
"BRANDON, MB","CEDAR CITY, UT",SINGLE,UAN
"BRANDON, MB","CENTRAL FERRY, WA",SINGLE,ATS
"BRANDON, MB","CENTRAL FERRY, WA",SINGLE,UAN
"BRANDON, MB","CHAMPAIGN, IL",SINGLE,10-34-0
"BRANDON, MB","CHAMPAIGN, IL",SINGLE,ATS
"BRANDON, MB","CHAMPAIGN, IL",SINGLE,UAN
"BRANDON, MB","CHENEY, WA",SINGLE,ATS
"BRANDON, MB","CHENEY, WA",SINGLE,UAN
"BRANDON, MB","CHESTERVILLE, ON",SINGLE,10-34-0
"BRANDON, MB","CHESTERVILLE, ON",SINGLE,ATS
"BRANDON, MB","CHESTERVILLE, ON",SINGLE,UAN
"BRANDON, MB","CHICAGO, IL",SINGLE,10-34-0
"BRANDON, MB","CHICAGO, IL",SINGLE,AMMONIA
"BRANDON, MB","CHICAGO, IL",SINGLE,ATS
"BRANDON, MB","CHICAGO, IL",SINGLE,UAN
"BRANDON, MB","CHICO, CA",SINGLE,UAN
"BRANDON, MB","CHILLICOTHE, OH",SINGLE,ATS
"BRANDON, MB","CHILLICOTHE, OH",SINGLE,UAN
"BRANDON, MB","CHILTON, WI",SINGLE,10-34-0
"BRANDON, MB","CHILTON, WI",SINGLE,AMMONIA
"BRANDON, MB","CHILTON, WI",SINGLE,ATS
"BRANDON, MB","CHILTON, WI",SINGLE,UAN
"BRANDON, MB","CHIN, AB",SINGLE,10-34-0
"BRANDON, MB","CHIN, AB",SINGLE,ATS
"BRANDON, MB","CHIN, AB",SINGLE,UAN
"BRANDON, MB","CINCINNATI, OH",SINGLE,ATS
"BRANDON, MB","CINCINNATI, OH",SINGLE,UAN
"BRANDON, MB","CIRCLEVILLE, OH",SINGLE,10-34-0
"BRANDON, MB","CIRCLEVILLE, OH",SINGLE,ATS
"BRANDON, MB","CIRCLEVILLE, OH",SINGLE,UAN
"BRANDON, MB","CLINTON, WI",SINGLE,UAN
"BRANDON, MB","COHOCTON, NY",SINGLE,ATS
"BRANDON, MB","COHOCTON, NY",SINGLE,UAN
"BRANDON, MB","COLLINS, MT",SINGLE,UAN
"BRANDON, MB","CONRAD, MT",SINGLE,ATS
"BRANDON, MB","CONRAD, MT",SINGLE,UAN
"BRANDON, MB","CORINNE, UT",SINGLE,UAN
"BRANDON, MB","CORSON, SD",SINGLE,ATS
"BRANDON, MB","CORSON, SD",SINGLE,UAN
"BRANDON, MB","COUTTS, AB",SINGLE,10-34-0
"BRANDON, MB","COUTTS, AB",SINGLE,ATS
"BRANDON, MB","COUTTS, AB",SINGLE,UAN
"BRANDON, MB","CRAVEN, SD",SINGLE,ATS
"BRANDON, MB","CRESCENT CITY, IL",SINGLE,10-34-0
"BRANDON, MB","CRESCENT CITY, IL",SINGLE,ATS
"BRANDON, MB","CRESCENT CITY, IL",SINGLE,UAN
"BRANDON, MB","CRESTLINE, OH",SINGLE,ATS
