originLocation,destinationLocation,equipmentType,productType
"COUTTS, AB","JUNCTION CITY, OR",SINGLE,UAN
"COUTTS, AB","KREMLIN, MT",SINGLE,UAN
"COUTTS, AB","MARSHALL (OAKESDALE), WA",SINGLE,UAN
"COUTTS, AB","MESA, WA",SINGLE,UAN
"COUTTS, AB","ODESSA, WA",SINGLE,UAN
"COUTTS, AB","OTHELLO, WA",SINGLE,UAN
"COUTTS, AB","PASCO, WA",SINGLE,UAN
"COUTTS, AB","POWELL, WY",SINGLE,UAN
"COUTTS, AB","QUINCY, WA",SINGLE,UAN
"COUTTS, AB","ROYAL CITY, WA",SINGLE,UAN
"COUTTS, AB","SALEM, OR",SINGLE,UAN
"COUTTS, AB","SIELER (MOSES LAKE/WARDEN), WA",SINGLE,UAN
"COUTTS, AB","STOCKTON, CA",SINGLE,UAN
"COUTTS, AB","TIBER, MT",SINGLE,UAN
"COUTTS, AB","WHEELER, WA",SINGLE,UAN
"COUTTS, AB","YAKIMA, WA",SINGLE,UAN
"COUTTS, MN","CHENEY, WA",SINGLE,UAN
"DANVILLE JUNCTION, ME","FT FAIRFIELD, ME",SINGLE,ATS
"DANVILLE JUNCTION, ME","FT FAIRFIELD, ME",SINGLE,UAN
"DANVILLE, IL","BOSWELL, IL",SINGLE,10-34-0
"DANVILLE, IL","BOSWELL, IL",SINGLE,ATS
"DANVILLE, IL","BOSWELL, IL",SINGLE,UAN
"DANVILLE, IL","DONOVAN, IL",SINGLE,10-34-0
"DANVILLE, IL","DONOVAN, IL",SINGLE,ATS
"DANVILLE, IL","DONOVAN, IL",SINGLE,UAN
"DANVILLE, IL","FOWLER, IN",SINGLE,DAP
"DANVILLE, IL","FOWLER, IN",SINGLE,MAP
"DANVILLE, IL","OTTERBEIN, IN",SINGLE,DAP
"DANVILLE, IL","OTTERBEIN, IN",SINGLE,MAP
"DEER PARK, TX","ALBUQUERQUE, NM",SINGLE,METHANOL
"DEER PARK, TX","AMORY, MS",SINGLE,METHANOL
"DEER PARK, TX","ARVADA, CO",SINGLE,METHANOL
"DEER PARK, TX","BETTENDORF, IA",SINGLE,METHANOL
"DEER PARK, TX","BIRMINGHAM, AL",SINGLE,METHANOL
"DEER PARK, TX","BORGER, TX",SINGLE,METHANOL
"DEER PARK, TX","CARLSBAD, NM",SINGLE,METHANOL
"DEER PARK, TX","CASPER, WY",SINGLE,METHANOL
"DEER PARK, TX","CHICAGO, IL",SINGLE,METHANOL
"DEER PARK, TX","CLEBURNE, TX",SINGLE,METHANOL
"DEER PARK, TX","CLINTON (SAYRE), OK",SINGLE,METHANOL
"DEER PARK, TX","COMMERCE CITY, CO",SINGLE,METHANOL
"DEER PARK, TX","COUNCIL BLUFFS, IA",SINGLE,METHANOL
"DEER PARK, TX","DENVER, CO",SINGLE,METHANOL
"DEER PARK, TX","DICKINSON, ND",SINGLE,METHANOL
"DEER PARK, TX","DISCOVERY PARK, OH",SINGLE,METHANOL
"DEER PARK, TX","DOUGLAS, WY",SINGLE,METHANOL
"DEER PARK, TX","EAST SAINT LOUIS, IL",SINGLE,METHANOL
"DEER PARK, TX","EL DORADO, KS",SINGLE,METHANOL
"DEER PARK, TX","EL PASO, TX",SINGLE,METHANOL
"DEER PARK, TX","EL RENO, OK",SINGLE,METHANOL
"DEER PARK, TX","FOUNTAIN, AL",SINGLE,METHANOL
"DEER PARK, TX","GALLUP, NM",SINGLE,METHANOL
"DEER PARK, TX","GLENDALE, AZ",SINGLE,METHANOL
"DEER PARK, TX","GLENDIVE, MT",SINGLE,METHANOL
"DEER PARK, TX","HARLINGEN, TX",SINGLE,METHANOL
"DEER PARK, TX","HENDERSON, CO",SINGLE,METHANOL
"DEER PARK, TX","KANSAS CITY, KS",SINGLE,METHANOL
"DEER PARK, TX","KEENESBURG, CO",SINGLE,METHANOL
"DEER PARK, TX","LYONS, KS",SINGLE,METHANOL
"DEER PARK, TX","MANLY, IA",SINGLE,METHANOL
"DEER PARK, TX","MEMPHIS, TN",SINGLE,METHANOL
"DEER PARK, TX","MINNEAPOLIS, MN",SINGLE,METHANOL
"DEER PARK, TX","MINOT, ND",SINGLE,METHANOL
"DEER PARK, TX","MONAHANS, TX",SINGLE,METHANOL
"DEER PARK, TX","MUNCIE, KS",SINGLE,METHANOL
"DEER PARK, TX","NEW ALBANY, MS",SINGLE,METHANOL
"DEER PARK, TX","NEW ORLEANS, LA",SINGLE,METHANOL
"DEER PARK, TX","NORTH LITTLE ROCK, AR",SINGLE,METHANOL
"DEER PARK, TX","ODESSA, TX",SINGLE,METHANOL
"DEER PARK, TX","OKLAHOMA CITY, OK",SINGLE,METHANOL
"DEER PARK, TX","PARKER, AZ",SINGLE,METHANOL
"DEER PARK, TX","PORT OF BROWNSVILLE, TX",SINGLE,METHANOL
"DEER PARK, TX","PORTLAND, OR",SINGLE,METHANOL
"DEER PARK, TX","POSEY, TX",SINGLE,METHANOL
"DEER PARK, TX","PUEBLO, CO",SINGLE,METHANOL
"DEER PARK, TX","SAINT JOSEPH, MO",SINGLE,METHANOL
"DEER PARK, TX","SAINT LOUIS, MO",SINGLE,METHANOL
"DEER PARK, TX","SALT LAKE CITY, UT",SINGLE,METHANOL
"DEER PARK, TX","SERGEANT BLUFF, IA",SINGLE,METHANOL
"DEER PARK, TX","SPARKS, NV",SINGLE,METHANOL
"DEER PARK, TX","TULSA, OK",SINGLE,METHANOL
"DEER PARK, TX","TUTTLE, OK",SINGLE,METHANOL
"DEER PARK, TX","WICHITA, KS",SINGLE,METHANOL
"DEER PARK, TX","WILLISTON, ND",SINGLE,METHANOL
"DEER PARK, TX","WILLOW SPRINGS, MO",SINGLE,METHANOL
"DEER PARK, TX","YALE, TN",SINGLE,METHANOL
"DENVER, CO","ARVADA, CO",SINGLE,METHANOL
"DENVER, CO","COMMERCE CITY, CO",SINGLE,METHANOL
"DENVER, CO","HENDERSON, CO",SINGLE,METHANOL
"DENVER, CO","IMPERIAL, NE",SINGLE,NITAMIN
"DENVER, CO","KEENESBURG, CO",SINGLE,METHANOL
"DENVER, CO","PORT COQUITLAM, BC",SINGLE,METHANOL
"DENVER, CO","PORTLAND, OR",SINGLE,METHANOL
"DES MOINES, IA","IOWA CITY, IA",SINGLE,10-34-0
"DES MOINES, IA","IOWA CITY, IA",SINGLE,ATS
"DES MOINES, IA","IOWA CITY, IA",SINGLE,UAN
"DES MOINES, IA","MALCOM, IA",SINGLE,ATS
"DETROIT, MI","AYR, ON",SINGLE,DAP
"DETROIT, MI","AYR, ON",SINGLE,MAP
"DETROIT, MI","AYR, ON",SINGLE,UREA
"DETROIT, MI","HORNBY, ON",SINGLE,METHANOL
"DETROIT, MI","PUTNAM, ON",SINGLE,UREA
"DETROIT, MI","THAMESVILLE, ON",SINGLE,UREA
"DODGE CITY, KS","BEREA, NE",SINGLE,AMMONIA
"DODGE CITY, KS","BOSWORTH, MO",SINGLE,AMMONIA
"DODGE CITY, KS","BROOKFIELD, MO",SINGLE,AMMONIA
"DODGE CITY, KS","CARROLLTON, MO",SINGLE,AMMONIA
"DODGE CITY, KS","CHICAGO, IL",SINGLE,AMMONIA
"DODGE CITY, KS","CORONADO, AZ",SINGLE,AMMONIA
"DODGE CITY, KS","DORCHESTER, NE",SINGLE,AMMONIA
"DODGE CITY, KS","GRANITE CITY, IL",SINGLE,AMMONIA
"DODGE CITY, KS","HARDIN, MO",SINGLE,AMMONIA
"DODGE CITY, KS","KANSAS CITY, MO",SINGLE,AMMONIA
"DODGE CITY, KS","LOWDER, IL",SINGLE,AMMONIA
"DODGE CITY, KS","MACKSVILLE, KS",SINGLE,AMMONIA
"DODGE CITY, KS","MALDEN, IL",SINGLE,AMMONIA
"DODGE CITY, KS","MENDON, MO",SINGLE,AMMONIA
"DODGE CITY, KS","MURDOCK, MN",SINGLE,AMMONIA
"DODGE CITY, KS","NEOLA, IA",SINGLE,AMMONIA
"DODGE CITY, KS","NORBORNE, MO",SINGLE,AMMONIA
"DODGE CITY, KS","SAINT JOSEPH, MO",SINGLE,AMMONIA
"DODGE CITY, KS","WAVERLY, IL",SINGLE,AMMONIA
"DODGE CITY, KS","WOLSEY, SD",SINGLE,AMMONIA
"DODGE CITY, KS","YUMA, CO",SINGLE,AMMONIA
"DUBUQUE, IA","BROOTEN, MN",SINGLE,UAN
"EAGLE BRIDGE, NY","SALEM, NY",SINGLE,10-34-0
"EAGLE BRIDGE, NY","SALEM, NY",SINGLE,ATS
"EAGLE BRIDGE, NY","SALEM, NY",SINGLE,DAP
"EAGLE BRIDGE, NY","SALEM, NY",SINGLE,MAP
"EAGLE BRIDGE, NY","SALEM, NY",SINGLE,UAN
"EAGLE BRIDGE, NY","SALEM, NY",SINGLE,UREA
"EAST PEORIA, IL","CRESCENT CITY, IL",SINGLE,10-34-0
"EAST PEORIA, IL","CRESCENT CITY, IL",SINGLE,ATS
"EAST PEORIA, IL","CRESCENT CITY, IL",SINGLE,UAN
"EAST PEORIA, IL","LOGANSPORT, IN",SINGLE,10-34-0
"EAST PEORIA, IL","LOGANSPORT, IN",SINGLE,ATS
"EAST PEORIA, IL","LOGANSPORT, IN",SINGLE,UAN
"EAST SAINT LOUIS, IL","AUBURN, NY",SINGLE,UREA
"EAST SAINT LOUIS, IL","BALTIMORE, MD",SINGLE,ATS
"EAST SAINT LOUIS, IL","BALTIMORE, MD",SINGLE,DEF
"EAST SAINT LOUIS, IL","BALTIMORE, MD",SINGLE,UAN
"EAST SAINT LOUIS, IL","BANGOR, PA",SINGLE,UREA
"EAST SAINT LOUIS, IL","BAY CITY, MI",SINGLE,ATS
"EAST SAINT LOUIS, IL","BAY CITY, MI",SINGLE,UAN
"EAST SAINT LOUIS, IL","BEAUHARNOIS, QC",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","BOTKINS, OH",SINGLE,UREA
"EAST SAINT LOUIS, IL","BRUNSWICK, MO",SINGLE,UREA
"EAST SAINT LOUIS, IL","CASEY, IL",SINGLE,UREA
"EAST SAINT LOUIS, IL","CINCINNATI, OH",SINGLE,UREA
"EAST SAINT LOUIS, IL","COLUMBUS, OH",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","DETROIT, MI",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","DICKINSON, ND",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","FRITCHTON, IN",SINGLE,UREA
"EAST SAINT LOUIS, IL","GENEVA, NY",SINGLE,UREA
"EAST SAINT LOUIS, IL","GRAYLING, MI",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","HAGERSTOWN, MD",SINGLE,UREA
"EAST SAINT LOUIS, IL","HENDERSON, KY",SINGLE,DEF
"EAST SAINT LOUIS, IL","HUNTINGTON, IN",SINGLE,UREA
"EAST SAINT LOUIS, IL","INDIANAPOLIS, IN",SINGLE,DEF
"EAST SAINT LOUIS, IL","JEFFERSON, OH",SINGLE,UREA
"EAST SAINT LOUIS, IL","JEFFERSONVILLE, IN",SINGLE,UREA
"EAST SAINT LOUIS, IL","KALAMAZOO, MI",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","KALKASKA, MI",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","LOOGOOTEE, IN",SINGLE,UREA
"EAST SAINT LOUIS, IL","LOWVILLE, NY",SINGLE,UREA
"EAST SAINT LOUIS, IL","MACKEY, IN",SINGLE,UREA
"EAST SAINT LOUIS, IL","MARS, PA",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","MASON, MI",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","MAUMEE, OH",SINGLE,UREA
"EAST SAINT LOUIS, IL","MCCOMB, OH",SINGLE,UREA
"EAST SAINT LOUIS, IL","MIDLAND, MI",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","MILAN, MI",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","MILL VILLAGE (WNYP), PA",SINGLE,UREA
"EAST SAINT LOUIS, IL","MILLVILLE, IN",SINGLE,SUPERU
"EAST SAINT LOUIS, IL","MILLVILLE, IN",SINGLE,UREA
"EAST SAINT LOUIS, IL","MONESSEN, PA",SINGLE,UREA
"EAST SAINT LOUIS, IL","MORRISVILLE, PA",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","MT SUMMIT, IN",SINGLE,UREA
"EAST SAINT LOUIS, IL","MUSKEGON HEIGHTS, MI",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","NIAGARA FALLS, NY",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","NORTHGATE, SK",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","NORWALK, OH",SINGLE,UREA
"EAST SAINT LOUIS, IL","OAKMONT, PA",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","OAKTOWN, IN",SINGLE,UREA
"EAST SAINT LOUIS, IL","ORANGE, VA",SINGLE,UREA
"EAST SAINT LOUIS, IL","OWENSBORO, KY",SINGLE,UREA
"EAST SAINT LOUIS, IL","PARKER CITY, IN",SINGLE,UREA
"EAST SAINT LOUIS, IL","PHELPS, NY",SINGLE,UREA
"EAST SAINT LOUIS, IL","REEDVILLE, IN",SINGLE,UREA
"EAST SAINT LOUIS, IL","ROHRERSTOWN, PA",SINGLE,UREA
"EAST SAINT LOUIS, IL","SCIRCLEVILLE, IN",SINGLE,UREA
"EAST SAINT LOUIS, IL","SMITHVILLE, OH",SINGLE,UREA
"EAST SAINT LOUIS, IL","SOUTH CHARLESTON, OH",SINGLE,UREA
"EAST SAINT LOUIS, IL","STRASBURG, PA",SINGLE,UREA
"EAST SAINT LOUIS, IL","TOLEDO, OH",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","TOLONO, IL",SINGLE,UREA
"EAST SAINT LOUIS, IL","UNION CITY, IN",SINGLE,UREA
"EAST SAINT LOUIS, IL","URBANA, IN",SINGLE,UREA
"EAST SAINT LOUIS, IL","WAYLAND, MI",SINGLE,UREA
"EAST SAINT LOUIS, IL","WAYNE, MI",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","WEST UPTON, MA",SINGLE,METHANOL
"EAST SAINT LOUIS, IL","WILLISTON, ND",SINGLE,METHANOL
"ENID, OK","ABERDEEN, ID",SINGLE,SUPERU
"ENID, OK","ABERDEEN, ID",SINGLE,UREA
"ENID, OK","ABERNATHY, TX",SINGLE,AMMONIA
"ENID, OK","ABILENE, KS",SINGLE,SUPERU
"ENID, OK","ABILENE, KS",SINGLE,UREA
"ENID, OK","ABILENE, TX",SINGLE,SUPERU
"ENID, OK","ABILENE, TX",SINGLE,UREA
"ENID, OK","ACEQUIA, ID",SINGLE,SUPERU
"ENID, OK","ACEQUIA, ID",SINGLE,UREA
"ENID, OK","ADAMS, WI",SINGLE,SUPERU
"ENID, OK","ADAMS, WI",SINGLE,UREA
"ENID, OK","ADELL, WI",SINGLE,SUPERU
"ENID, OK","ADELL, WI",SINGLE,UREA
"ENID, OK","ADRIAN, MO",SINGLE,SUPERU
"ENID, OK","ADRIAN, MO",SINGLE,UREA
"ENID, OK","ALAMOSA, CO",SINGLE,SUPERU
"ENID, OK","ALAMOSA, CO",SINGLE,UREA
"ENID, OK","ALBANY, OR",SINGLE,SUPERU
"ENID, OK","ALBANY, OR",SINGLE,UREA
"ENID, OK","ALBUQUERQUE, NM",SINGLE,DEF
"ENID, OK","ALBUQUERQUE, NM",SINGLE,SUPERU
"ENID, OK","ALBUQUERQUE, NM",SINGLE,UREA
"ENID, OK","ALLIANCE, NE",SINGLE,AMMONIA
"ENID, OK","ALLIANCE, NE",SINGLE,SUPERU
"ENID, OK","ALLIANCE, NE",SINGLE,UREA
"ENID, OK","ALMA, MO",SINGLE,AMMONIA
"ENID, OK","ALPAUGH, CA",SINGLE,SUPERU
"ENID, OK","ALPAUGH, CA",SINGLE,UREA
"ENID, OK","ALTON, ND",85 UT,SUPERU
"ENID, OK","ALTON, ND",85 UT,UREA
"ENID, OK","ALTON, ND",SINGLE,SUPERU
"ENID, OK","ALTON, ND",SINGLE,UREA
"ENID, OK","ALTURAS, CA",SINGLE,SUPERU
"ENID, OK","ALTURAS, CA",SINGLE,UREA
"ENID, OK","AMARILLO, TX",SINGLE,UAN
"ENID, OK","AMERICAN FALLS, ID",SINGLE,SUPERU
"ENID, OK","AMERICAN FALLS, ID",SINGLE,UREA
"ENID, OK","AMERICAN FORK, UT",SINGLE,DEF
"ENID, OK","AMES, OK",SINGLE,10-34-0
"ENID, OK","AMES, OK",SINGLE,ATS
"ENID, OK","AMES, OK",SINGLE,SUPERU
"ENID, OK","AMES, OK",SINGLE,UAN
"ENID, OK","AMES, OK",SINGLE,UREA
"ENID, OK","ANAHEIM, CA",SINGLE,SUPERU
"ENID, OK","ANAHEIM, CA",SINGLE,UREA
"ENID, OK","ANDALE, KS",SINGLE,SUPERU
"ENID, OK","ANDALE, KS",SINGLE,UREA
"ENID, OK","APPLETON, MN",SINGLE,AMMONIA
"ENID, OK","ARCADIA, IA",SINGLE,SUPERU
"ENID, OK","ARCADIA, IA",SINGLE,UREA
"ENID, OK","ARENA, WI",SINGLE,SUPERU
"ENID, OK","ARENA, WI",SINGLE,UREA
"ENID, OK","ARLINGTON, CA",SINGLE,SUPERU
"ENID, OK","ARLINGTON, CA",SINGLE,UREA
"ENID, OK","ARLINGTON, KS",SINGLE,SUPERU
"ENID, OK","ARLINGTON, KS",SINGLE,UREA
"ENID, OK","ARTOIS, CA",SINGLE,SUPERU
"ENID, OK","ARTOIS, CA",SINGLE,UREA
"ENID, OK","ARVILLA, ND",85 UT,SUPERU
"ENID, OK","ARVILLA, ND",85 UT,UREA
"ENID, OK","ARVILLA, ND",SINGLE,SUPERU
"ENID, OK","ARVILLA, ND",SINGLE,UREA
"ENID, OK","ASH GROVE, MO",SINGLE,SUPERU
"ENID, OK","ASH GROVE, MO",SINGLE,UREA
"ENID, OK","ASHTON, ID",SINGLE,SUPERU
"ENID, OK","ASHTON, ID",SINGLE,UREA
"ENID, OK","ATLANTA, GA",SINGLE,DEF
"ENID, OK","ATWATER, MN",SINGLE,SUPERU
"ENID, OK","ATWATER, MN",SINGLE,UREA
"ENID, OK","AUBURN, NY",SINGLE,SUPERU
"ENID, OK","AUBURN, NY",SINGLE,UREA
"ENID, OK","AURORA, CO",SINGLE,DEF
"ENID, OK","AURORA, MO",SINGLE,SUPERU
"ENID, OK","AURORA, MO",SINGLE,UREA
"ENID, OK","AURORA, NE",85 UT,SUPERU
"ENID, OK","AURORA, NE",85 UT,UREA
"ENID, OK","AURORA, NE",SINGLE,SUPERU
"ENID, OK","AURORA, NE",SINGLE,UREA
"ENID, OK","AXTELL, NE",SINGLE,AMMONIA
"ENID, OK","AYR, ND",SINGLE,SUPERU
"ENID, OK","AYR, ND",SINGLE,UREA
"ENID, OK","AYR, ON",SINGLE,SUPERU
"ENID, OK","AYR, ON",SINGLE,UREA
"ENID, OK","BALTIMORE, MD",SINGLE,DEF
"ENID, OK","BANCROFT, ID",SINGLE,SUPERU
"ENID, OK","BANCROFT, ID",SINGLE,UREA
"ENID, OK","BANGOR, PA",SINGLE,SUPERU
"ENID, OK","BANGOR, PA",SINGLE,UREA
"ENID, OK","BARNESVILLE, MN",SINGLE,DEF
"ENID, OK","BARNESVILLE, MN",SINGLE,SUPERU
"ENID, OK","BARNESVILLE, MN",SINGLE,UREA
"ENID, OK","BARNWELL, AB",SINGLE,SUPERU
"ENID, OK","BARNWELL, AB",SINGLE,UREA
"ENID, OK","BARRETT, MN",SINGLE,SUPERU
"ENID, OK","BARRETT, MN",SINGLE,UREA
"ENID, OK","BARRETTS, MT",SINGLE,SUPERU
"ENID, OK","BARRETTS, MT",SINGLE,UREA
"ENID, OK","BASIN, WY",SINGLE,SUPERU
"ENID, OK","BASIN, WY",SINGLE,UREA
"ENID, OK","BATH, SD",85 UT,SUPERU
"ENID, OK","BATH, SD",85 UT,UREA
"ENID, OK","BATH, SD",SINGLE,SUPERU
"ENID, OK","BATH, SD",SINGLE,UREA
"ENID, OK","BATON ROUGE, LA",SINGLE,SUPERU
"ENID, OK","BATON ROUGE, LA",SINGLE,UREA
"ENID, OK","BAY CITY, MI",SINGLE,DEF
"ENID, OK","BAYARD, IA",85 UT,SUPERU
"ENID, OK","BAYARD, IA",85 UT,UREA
"ENID, OK","BAYARD, IA",SINGLE,AMMONIA
"ENID, OK","BAYARD, IA",SINGLE,SUPERU
"ENID, OK","BAYARD, IA",SINGLE,UREA
"ENID, OK","BEACH, ND",SINGLE,SUPERU
"ENID, OK","BEACH, ND",SINGLE,UREA
"ENID, OK","BEARDSLEY, SD",85 UT,SUPERU
"ENID, OK","BEARDSLEY, SD",85 UT,UREA
"ENID, OK","BEARDSLEY, SD",SINGLE,SUPERU
"ENID, OK","BEARDSLEY, SD",SINGLE,UREA
"ENID, OK","BEAUMONT, TX",SINGLE,DEF
"ENID, OK","BELGRADE, MT",SINGLE,SUPERU
"ENID, OK","BELGRADE, MT",SINGLE,UREA
"ENID, OK","BELLEGRADE-CHOSEN, FL",SINGLE,DEF
"ENID, OK","BELLMEAD, TX",SINGLE,SUPERU
"ENID, OK","BELLMEAD, TX",SINGLE,UREA
"ENID, OK","BELOIT, KS",SINGLE,SUPERU
"ENID, OK","BELOIT, KS",SINGLE,UREA
"ENID, OK","BELTRAMI, MN",85 UT,SUPERU
"ENID, OK","BELTRAMI, MN",85 UT,UREA
"ENID, OK","BELTRAMI, MN",SINGLE,SUPERU
"ENID, OK","BELTRAMI, MN",SINGLE,UREA
"ENID, OK","BEND, OR",SINGLE,SUPERU
"ENID, OK","BEND, OR",SINGLE,UREA
"ENID, OK","BENNETT, NE",SINGLE,SUPERU
"ENID, OK","BENNETT, NE",SINGLE,UREA
"ENID, OK","BEREA, NE",SINGLE,AMMONIA
"ENID, OK","BERRY, AZ",SINGLE,DEF
"ENID, OK","BERTHOLD, ND",SINGLE,SUPERU
"ENID, OK","BERTHOLD, ND",SINGLE,UREA
"ENID, OK","BIEBER, CA",SINGLE,SUPERU
"ENID, OK","BIEBER, CA",SINGLE,UREA
"ENID, OK","BIENFAIT, SK",SINGLE,SUPERU
"ENID, OK","BIENFAIT, SK",SINGLE,UREA
"ENID, OK","BIG SPRING, TX",SINGLE,DEF
"ENID, OK","BIG SPRINGS, NE",SINGLE,SUPERU
"ENID, OK","BIG SPRINGS, NE",SINGLE,UREA
"ENID, OK","BIGGAR, SK",SINGLE,UREA
"ENID, OK","BILLINGS, MT",SINGLE,DEF
"ENID, OK","BILLINGS, MT",SINGLE,SUPERU
"ENID, OK","BILLINGS, MT",SINGLE,UREA
"ENID, OK","BINGHAM LAKE, MN",SINGLE,SUPERU
"ENID, OK","BINGHAM LAKE, MN",SINGLE,UREA
"ENID, OK","BIRMINGHAM, AL",SINGLE,DEF
"ENID, OK","BIRMINGHAM, AL",SINGLE,SUPERU
"ENID, OK","BIRMINGHAM, AL",SINGLE,UREA
"ENID, OK","BISBEE, ND",85 UT,SUPERU
"ENID, OK","BISBEE, ND",85 UT,UREA
"ENID, OK","BISBEE, ND",SINGLE,SUPERU
"ENID, OK","BISBEE, ND",SINGLE,UREA
"ENID, OK","BISON, KS",SINGLE,SUPERU
"ENID, OK","BISON, KS",SINGLE,UREA
"ENID, OK","BLACK CREEK, WI",SINGLE,SUPERU
"ENID, OK","BLACK CREEK, WI",SINGLE,UREA
"ENID, OK","BLACKBURN, MO",SINGLE,AMMONIA
"ENID, OK","BLACKFOOT, ID",SINGLE,SUPERU
"ENID, OK","BLACKFOOT, ID",SINGLE,UREA
"ENID, OK","BLAIR, NE",SINGLE,SUPERU
"ENID, OK","BLAIR, NE",SINGLE,UREA
"ENID, OK","BLENCOE, IA",SINGLE,SUPERU
"ENID, OK","BLENCOE, IA",SINGLE,UREA
"ENID, OK","BLUE EARTH, MN",SINGLE,SUPERU
"ENID, OK","BLUE EARTH, MN",SINGLE,UREA
"ENID, OK","BLUE ISLAND, IL",SINGLE,DEF
"ENID, OK","BOARDMAN, OR",SINGLE,SUPERU
"ENID, OK","BOARDMAN, OR",SINGLE,UREA
"ENID, OK","BOMBAY, CA",SINGLE,SUPERU
"ENID, OK","BOMBAY, CA",SINGLE,UREA
"ENID, OK","BONNERS FERRY, ID",SINGLE,SUPERU
"ENID, OK","BONNERS FERRY, ID",SINGLE,UREA
"ENID, OK","BOSCOBEL, WI",SINGLE,SUPERU
"ENID, OK","BOSCOBEL, WI",SINGLE,UREA
"ENID, OK","BOSWORTH, MO",SINGLE,AMMONIA
"ENID, OK","BOSWORTH, MO",SINGLE,SUPERU
"ENID, OK","BOSWORTH, MO",SINGLE,UREA
"ENID, OK","BOTKINS, OH",SINGLE,SUPERU
"ENID, OK","BOTKINS, OH",SINGLE,UREA
"ENID, OK","BOTTINEAU, ND",85 UT,SUPERU
"ENID, OK","BOTTINEAU, ND",85 UT,UREA
"ENID, OK","BOTTINEAU, ND",SINGLE,SUPERU
"ENID, OK","BOTTINEAU, ND",SINGLE,UREA
"ENID, OK","BOVINA, TX",SINGLE,SUPERU
"ENID, OK","BOVINA, TX",SINGLE,UREA
"ENID, OK","BOW ISLAND, AB",SINGLE,SUPERU
"ENID, OK","BOW ISLAND, AB",SINGLE,UREA
"ENID, OK","BOWBELLS, ND",SINGLE,SUPERU
"ENID, OK","BOWBELLS, ND",SINGLE,UREA
"ENID, OK","BOWMAN, ND",SINGLE,SUPERU
"ENID, OK","BOWMAN, ND",SINGLE,UREA
"ENID, OK","BOYLE, ND",85 UT,SUPERU
"ENID, OK","BOYLE, ND",85 UT,UREA
"ENID, OK","BOYLE, ND",SINGLE,SUPERU
"ENID, OK","BOYLE, ND",SINGLE,UREA
"ENID, OK","BRADFORD, IA",SINGLE,SUPERU
"ENID, OK","BRADFORD, IA",SINGLE,UREA
"ENID, OK","BRADNER, OH",SINGLE,SUPERU
"ENID, OK","BRADNER, OH",SINGLE,UREA
"ENID, OK","BRADSHAW, NE",SINGLE,SUPERU
"ENID, OK","BRADSHAW, NE",SINGLE,UREA
"ENID, OK","BRANDON, MB",SINGLE,SUPERU
"ENID, OK","BRANDON, MB",SINGLE,UREA
"ENID, OK","BRANDON, WI",SINGLE,SUPERU
"ENID, OK","BRANDON, WI",SINGLE,UREA
"ENID, OK","BRAWLEY, CA",SINGLE,SUPERU
"ENID, OK","BRAWLEY, CA",SINGLE,UREA
"ENID, OK","BRECKENRIDGE, MI",SINGLE,SUPERU
"ENID, OK","BRECKENRIDGE, MI",SINGLE,UREA
"ENID, OK","BREWSTER, MN",SINGLE,SUPERU
"ENID, OK","BREWSTER, MN",SINGLE,UREA
"ENID, OK","BRICELYN, MN",SINGLE,SUPERU
"ENID, OK","BRICELYN, MN",SINGLE,UREA
"ENID, OK","BRIDGEPORT, NE",SINGLE,SUPERU
"ENID, OK","BRIDGEPORT, NE",SINGLE,UREA
"ENID, OK","BRIGHTON, CO",SINGLE,SUPERU
"ENID, OK","BRIGHTON, CO",SINGLE,UREA
"ENID, OK","BRISTOL, SD",SINGLE,SUPERU
"ENID, OK","BRISTOL, SD",SINGLE,UREA
"ENID, OK","BROAD BROOK, CT",SINGLE,SUPERU
"ENID, OK","BROAD BROOK, CT",SINGLE,UREA
"ENID, OK","BROADWATER, NE",SINGLE,SUPERU
"ENID, OK","BROADWATER, NE",SINGLE,UREA
"ENID, OK","BROCK, SK",SINGLE,SUPERU
"ENID, OK","BROCK, SK",SINGLE,UREA
"ENID, OK","BROOKFIELD, MO",SINGLE,AMMONIA
"ENID, OK","BROOKS, OR",SINGLE,SUPERU
"ENID, OK","BROOKS, OR",SINGLE,UREA
"ENID, OK","BROWNFIELD, TX",SINGLE,SUPERU
"ENID, OK","BROWNFIELD, TX",SINGLE,UREA
"ENID, OK","BROWNTON, MN",SINGLE,SUPERU
